 not sufficient 	 not enough 
 not used 	 be drawn 
 made more 	 not anymore 
 not going 	 will continue 
 not considered 	 taken as 
 not satisfied 	 was lacking 
 not comply 	 not implement 
 not doing 	 wanna know 
 not l 	 not me 
 not propose 	 n't offer 
 n't like 	 not getting 
 sets out 	 not clear 
 not even 	 nah 
 the failure 	 not 
 not " 	 n't " 
 n't figure 	 not saying 
 not get 	 not come 
 not got 	 not come 
 not lose 	 'm staying 
 not got 	 none were 
 little has 	 not long 
 not impossible 	 not possibly 
 not without 	 everything 
 not very 	 moments 
 not that 	 steps taken 
 n't respond 	 not reply 
 complicated task 	 not practical 
 not clear 	 not sure 
 , scheduled 	 not provided 
 not interested 	 card has 
 n't entirely 	 not really 
 pending the 	 not being 
 pending the 	 not been 
 needless to 	 not be 
 not satisfied 	 part thereof 
 not comply 	 not correspond 
 not much 	 longer any 
 it fails 	 not having 
 it failed 	 not having 
 it failed 	 not had 
 it fails 	 not have 
 it failed 	 not have 
 it fails 	 not had 
 not given 	 do without 
 not understand 	 not know 
 not well 	 hurting . 
 n't remember 	 not remember 
 not gone 	 always of 
 n't need 	 not going 
 not right 	 not acceptable 
 not put 	 exercised by 
 not applicable 	 not appropriate 
 not purely 	 not exclusively 
 not intend 	 not contemplate 
 not prevented 	 ever have 
 only deduct 	 not deduct 
 n't care 	 not lower 
 much better 	 not work 
 not believe 	 not find 
 not interfere 	 not infringe 
 not the 	 longer be 
 not dispute 	 has agreed 
 not dispute 	 have agreed 
 not dispute 	 had agreed 
 not least 	 sure 
 be achieved 	 not meet 
 not going 	 nobody needs 
 not being 	 low level 
 not even 	 again 
 not regard 	 held : 
 deleted , 	 not going 
 delete , 	 not going 
 not satisfied 	 fell below 
 problems arise 	 not easy 
 not involved 	 anything of 
 , forever 	 not gone 
 n't receive 	 not receive 
 n't receive 	 not received 
 n't receive 	 not receiving 
 not readily 	 not easy 
 challenging task 	 not readily 
 not have 	 've got 
 off the 	 not covered 
 not have 	 be avoided 
 shortfall of 	 not satisfied 
 not only 	 not least 
 be kept 	 not gonna 
 not let 	 prevent further 
 not true 	 bad 
 not 	 not even 
 not properly 	 not sufficient 
 persons below 	 not as 
 avoid the 	 not 
 not appreciate 	 n't enjoy 
 : means 	 not limited 
 not provide 	 not permitted 
 not provide 	 not permit 
 not support 	 , compared 
 not want 	 neither does 
 not as 	 were below 
 not much 	 thin 
 own foreign 	 not involved 
 are less 	 not do 
 - always 	 not changed 
 not but 	 only be 
 not but 	 only are 
 not take 	 of losing 
 not but 	 only is 
 not but 	 only been 
 not get 	 be accomplished 
 not very 	 not too 
 , just 	 not 
 answer is 	 not a 
 n't a 	 not any 
 anything to 	 not 
 not send 	 not submit 
 lacking in 	 not have 
 not comply 	 offences against 
 also become 	 not kept 
 not cause 	 not create 
 not needed 	 , needless 
 not need 	 , needless 
 planned , 	 not specified 
 not opposed 	 not preclude 
 not oppose 	 not preclude 
 not less 	 received many 
 not talking 	 's telling 
 not intended 	 than just 
 not forgetting 	 also remember 
 not forgotten 	 also remember 
 not forget 	 also remember 
 not convinced 	 likely have 
 not support 	 as compared 
 not gone 	 always to 
 not justified 	 of non- 
 not done 	 n't yet 
 be further 	 not too 
 been further 	 not too 
 prohibited from 	 not going 
 not exceeding 	 less 
 not exceed 	 less 
 failed to 	 not covered 
 failing to 	 not covered 
 not recognise 	 n't recognise 
 not quite 	 huh 
 erroneous 	 not correct 
 nothing less 	 not less 
 not intended 	 n't act 
 n't so 	 not as 
 not know 	 not understand 
 not reasonable 	 unreasonable to 
 'il explain 	 not saying 
 , falling 	 not bother 
 not doing 	 enough with 
 n't recognize 	 not recognise 
 not had 	 has violated 
 card has 	 not interested 
 - yes 	 not 
 not getting 	 n't serve 
 not the 	 now going 
 not completely 	 not very 
 not expected 	 it without 
 not going 	 still needs 
 not regard 	 not believe 
 not return 	 n't return 
 not covered 	 failing to 
 not covered 	 failed to 
 not even 	 itself 
 not well 	 plus 
 not take 	 without making 
 not getting 	 , failure 
 not going 	 fall outside 
 not currently 	 not now 
 not deduct 	 only deduct 
 not right 	 appalling 
 not cause 	 not produce 
 not satisfied 	 shortage problem 
 defects , 	 not right 
 not connected 	 's length 
 not that 	 despite its 
 it fails 	 not having 
 it failed 	 not having 
 choice as 	 not coming 
 not , 	 n't , 
 not open 	 , opposed 
 not find 	 of lost 
 never told 	 not speak 
 not made 	 have neither 
 not made 	 had neither 
 not made 	 has neither 
 n't all 	 not all 
 not request 	 application 
 commencing in 	 not since 
 not any 	 proposed tariff 
 not often 	 never seen 
 not agree 	 not believe 
 n't consider 	 not considered 
 n't consider 	 not consider 
 no fewer 	 not least 
 not suggest 	 make proposals 
 not interested 	 especially , 
 not being 	 a non- 
 not from 	 not matter 
 n't close 	 not close 
 not least 	 younger 
 not impede 	 not exclude 
 n't risk 	 not risk 
 's missing 	 not sufficient 
 n't want 	 not want 
 disability in 	 not managed 
 therefore impossible 	 not feasible 
 not above 	 not exceed 
 're headed 	 not gonna 
 not getting 	 nothing here 
 not doing 	 high interest 
 not do 	 are either 
 not do 	 is either 
 not do 	 were either 
 really want 	 not thinking 
 not specifically 	 not necessarily 
 complicated to 	 not easy 
 not always 	 not usually 
 not believe 	 expressed that 
 not more 	 most 
 not claim 	 . calls 
 not going 	 opposed to 
 not spend 	 not pass 
 n't run 	 not running 
 n't run 	 not run 
 not account 	 not reflect 
 not lead 	 is carrying 
 not lead 	 is carried 
 not lead 	 are carried 
 not lead 	 were carrying 
 not lead 	 being carried 
 not lead 	 are carrying 
 not lead 	 were carried 
 not covered 	 had never 
 she failed 	 not to 
 not given 	 it fails 
 not given 	 it failed 
 not set 	 than being 
 not talking 	 's about 
 not gone 	 both been 
 n't mix 	 not together 
 not grant 	 closed to 
 shall lie 	 not permitted 
 not made 	 of outstanding 
 , needless 	 not help 
 not be 	 not necessarily 
 not being 	 not necessarily 
 not been 	 not necessarily 
 not given 	 in under 
 actuaily incorrect 	 not correct 
 not left 	 yet come 
 n't met 	 not seen 
 n't met 	 not see 
 decision 	 not been 
 not yet 	 not currently 
 not call 	 asking for 
 not match 	 n't match 
 not provided 	 taken that 
 am calling 	 not request 
 not saying 	 would put 
 not clear 	 sets out 
 n't need 	 not trying 
 not gone 	 a still 
 nothing happened 	 not much 
 n't hard 	 not difficult 
 n't wish 	 not trying 
 not conflict 	 not violate 
 not clear 	 shows a 
 measure to 	 not doing 
 not surprisingly 	 so naturally 
 also remember 	 not forget 
 also remember 	 not forgotten 
 also remember 	 not forgetting 
 not included 	 get out 
 n't do 	 not do 
 n't do 	 not done 
 not interested 	 , shoot 
 not now 	 nah 
 and ending 	 not before 
 no response 	 not address 
 not many 	 being not 
 not possible 	 n't possible 
 not much 	 weaker 
 not enough 	 fell below 
 not worth 	 n't worth 
 not connected 	 independent in 
 not well 	 sorry 
 not specified 	 made provision 
 not contain 	 's missing 
 longer so 	 not as 
 of losing 	 not take 
 not made 	 're making 
 not reaily 	 n't really 
 no access 	 not receive 
 not exceeding 	 possible level 
 does more 	 not merely 
 not comply 	 opposed , 
 not allow 	 closed to 
 not allowed 	 closed to 
 not among 	 not fall 
 be announced 	 not looking 
 are announced 	 not looking 
 not your 	 denied the 
 not provided 	 plan on 
 not identify 	 not report 
 not provided 	 intended that 
 n't just 	 not only 
 not managed 	 disability in 
 not only 	 aside 
 n't use 	 not looking 
 not in 	 are many 
 not lead 	 have spent 
 not adopted 	 dismissed , 
 not within 	 not subject 
 not implement 	 not observe 
 not granted 	 voted down 
 quite wrong 	 not true 
 be prohibited 	 not 
 not well 	 made little 
 not often 	 sparingly 
 difficult ones 	 not easy 
 difficult one 	 not easy 
 not recognise 	 n't recognize 
 not seeing 	 that alone 
 nor an 	 not a 
 not see 	 n't see 
 not seeing 	 n't see 
 not believe 	 fucking hate 
 preferred a 	 not easily 
 not complete 	 not meet 
 not complete 	 not met 
 not complete 	 not meeting 
 exercised by 	 not put 
 not one 	 anybody 
 not unreasonable 	 only reasonable 
 never thought 	 not think 
 not out 	 not exclude 
 not satisfied 	 is viewed 
 not prepared 	 unwillingness of 
 not that 	 anyway 
 not allowed 	 will win 
 not know 	 not sure 
 not known 	 not sure 
 , scheduled 	 not required 
 not 	 not yet 
 not just 	 over 
 not correspond 	 not comply 
 nonexistent 	 not available 
 a non- 	 not related 
 not do 	 is less 
 not do 	 are less 
 not be 	 act prohibits 
 not used 	 an empty 
 plan on 	 not provided 
 not appropriate 	 not applicable 
 n't gonna 	 not looking 
 not report 	 not identify 
 be met 	 not exceed 
 not trying 	 do n't 
 not seeing 	 ... alone 
 not looking 	 n't expect 
 not great 	 not well 
 absolutely no 	 not any 
 not trying 	 wants a 
 no good 	 not appropriate 
 not long 	 scarcely 
 keep quiet 	 not provided 
 not supposed 	 n't make 
 not left 	 longer to 
 a forged 	 not right 
 not having 	 never even 
 not going 	 well in 
 not had 	 never even 
 lack any 	 not done 
 not least 	 that is 
 not easily 	 preferred a 
 not sufficiently 	 with limited 
 n't drink 	 not drink 
 not actually 	 not significantly 
 are substantial 	 not pretend 
 abstain from 	 not 
 not permit 	 n't allowed 
 not permitted 	 n't allow 
 not permitted 	 n't allowed 
 not permit 	 n't allow 
 not true 	 fake 
 not well 	 hardly 
 not right 	 ugly 
 not given 	 of access 
 not much 	 depressed 
 not many 	 slight 
 not a 	 have failed 
 not thinking 	 , wanted 
 not thinking 	 , want 
 depressed 	 not much 
 finding out 	 not possibly 
 not therefore 	 which means 
 improbable 	 not likely 
 neither you 	 not you 
 even by 	 not changed 
 not you 	 nor you 
 are carried 	 not lead 
 are carrying 	 not lead 
 being carried 	 not lead 
 not here 	 oh 
 not obtain 	 not find 
 not obtain 	 not found 
 of lost 	 not find 
 n't last 	 not bound 
 not cool 	 s-sorry 
 not too 	 just 
 others " 	 not limited 
 not seeing 	 only remaining 
 not with 	 nor with 
 circulated as 	 not as 
 , always 	 not changed 
 not making 	 not waste 
 not looking 	 n't require 
 opposed to 	 not under 
 are as 	 not receive 
 n't like 	 not going 
 , calling 	 not require 
 not just 	 not solely 
 longer any 	 not much 
 just out 	 not allowed 
 be taken 	 not lose 
 not seem 	 little bit 
 not having 	 yet been 
 not had 	 yet been 
 not had 	 yet be 
 not have 	 yet been 
 not only 	 never 
 denied the 	 not his 
 be removed 	 not going 
 not allowed 	 the suppression 
 not doing 	 nothing here 
 not gonna 	 is heading 
 are small 	 not many 
 not satisfied 	 of below 
 not communicate 	 not report 
 not truly 	 not adequately 
 possible level 	 not exceeding 
 not enjoy 	 not attract 
 not leaving 	 get out 
 not even 	 similar 
 fell below 	 not satisfied 
 not much 	 none 
 not required 	 , planned 
 not being 	 pending the 
 not been 	 pending the 
 not to 	 avoid swimming 
 rather less 	 not so 
 n't own 	 not own 
 non-responsive 	 not admissible 
 n't fun 	 not funny 
 not long 	 seldom 
 not looking 	 's announcement 
 be borne 	 not take 
 fall outside 	 not going 
 expressed that 	 not believe 
 not an 	 opposed to 
 not ? 	 n't ? 
 not convinced 	 faith in 
 not address 	 not include 
 scope to 	 not brought 
 not leave 	 n't leave 
 not difficult 	 n't hard 
 not very 	 not completely 
 not enough 	 weakness 
 not enough 	 weaknesses 
 not try 	 be avoided 
 not left 	 will more 
 onto the 	 not 
 not well 	 a limited 
 not limited 	 opt out 
 a still 	 not gone 
 refusal -lrb- 	 not accepted 
 not it 	 everything 
 not just 	 admittedly 
 not doing 	 right about 
 not yet 	 is more 
 not 	 was never 
 dan applied 	 not then 
 laid down 	 not specified 
 not allowed 	 he can 
 limitations 	 not enough 
 not great 	 not good 
 'm staying 	 not lose 
 act prohibits 	 not supposed 
 not now 	 not currently 
 not trying 	 n't care 
 not satisfied 	 looks to 
 not trying 	 n't intend 
 not of 	 little bit 
 not infringe 	 not interfere 
 either have 	 not obliged 
 not many 	 shortly 
 not out 	 it fails 
 not out 	 it failed 
 not allowed 	 little of 
 nothing more 	 not more 
 as compared 	 not support 
 not about 	 not just 
 , limited 	 not very 
 not later 	 plus 
 of always 	 not gone 
 just out 	 not covered 
 not yet 	 prevented from 
 convention against 	 not allowed 
 not altogether 	 not really 
 be zero 	 not going 
 inactive 	 not active 
 not exceeding 	 , up 
 not want 	 has refused 
 not want 	 have refused 
 n't pass 	 not pass 
 not submit 	 not exhibit 
 not good 	 lot better 
 not doing 	 just enough 
 not doing 	 , outside 
 ls n't 	 not made 
 made provision 	 not specified 
 not long 	 small amounts 
 not satisfied 	 -rrb- considers 
 not changed 	 even by 
 not gonna 	 you feeling 
 denied the 	 not our 
 accorded a 	 not give 
 not doing 	 shall determine 
 , ever 	 not seen 
 scared ? 	 not afraid 
 not pass 	 not spend 
 not satisfied 	 , considers 
 not fall 	 goes in 
 not getting 	 hard not 
 not all 	 nah 
 of going 	 not stop 
 not unless 	 unless such 
 really wanna 	 not thinking 
 not to 	 had failed 
 not allowed 	 just out 
 not least 	 -lrb- including 
 do n't 	 not trying 
 not consider 	 believes , 
 's telling 	 not talking 
 not going 	 n't need 
 not surprised 	 hoped for 
 not by 	 opposed to 
 further 	 not least 
 not they 	 opposed to 
 be impossible 	 not possibly 
 been impossible 	 not possibly 
 not better 	 providing better 
 not better 	 provide better 
 not going 	 failure of 
 not anymore 	 made more 
 not go 	 nothing has 
 not be 	 barred from 
 not mention 	 have failed 
 not mention 	 has failed 
 not trying 	 n't tempt 
 n't too 	 not working 
 absent , 	 not found 
 of outstanding 	 not made 
 not bad 	 okay 
 not confirm 	 not support 
 fuck that 	 not 
 been possible 	 not had 
 been possible 	 not have 
 never seen 	 not often 
 not brought 	 scope to 
 not after 	 not by 
 best ... 	 not better 
 better ... 	 not better 
 not only 	 as 
 are hampering 	 not allow 
 not well 	 it had 
 not going 	 had enough 
 not thinking 	 wanna be 
 not consider 	 not envisage 
 not being 	 little did 
 not been 	 little did 
 not much 	 useless 
 not keep 	 cease its 
 appalling 	 not right 
 not always 	 forever 
 not much 	 not significantly 
 not produce 	 not result 
 n't have 	 not have 
 not very 	 not really 
 not possible 	 may 
 n't accept 	 not going 
 are far 	 not qualify 
 part thereof 	 not satisfied 
 not before 	 and ending 
 not provided 	 foreseen , 
 not take 	 be lost 
 not disputed 	 is constant 
 not go 	 was with 
 not yet 	 not again 
 's length 	 not connected 
 not taken 	 n't for 
 not more 	 running out 
 not sufficient 	 the insufficient 
 not long 	 low 
 not much 	 slim 
 fall below 	 not meeting 
 by without 	 not counting 
 not able 	 from taking 
 none were 	 not got 
 never be 	 not prepared 
 denied the 	 not having 
 not long 	 are least 
 not over 	 not finish 
 not see 	 without having 
 not going 	 is preventing 
 n't think 	 not 
 not gonna 	 it goes 
 denied access 	 not want 
 not had 	 summer of 
 not allowed 	 convention against 
 not either 	 over 
 not allowed 	 moratorium on 
 not applicable 	 n.a. 
 not compromise 	 not affect 
 n't for 	 not taken 
 it has 	 not only 
 . calls 	 not claim 
 also always 	 not gone 
 not right 	 n't right 
 not sleeping 	 n't sleep 
 not sleep 	 n't sleep 
 enough with 	 not doing 
 not too 	 really 
 finished . 	 not over 
 faces a 	 not wait 
 , pointless 	 not required 
 not covered 	 just out 
 not replace 	 substitute 
 not fair 	 evil 
 not too 	 made even 
 n't worth 	 not worth 
 are today 	 not the 
 not bound 	 n't last 
 not gonna 	 ok 
 not far 	 closely watching 
 not fulfil 	 not respect 
 not meet 	 not adhere 
 not meeting 	 not adhere 
 not set 	 not prepare 
 not met 	 not adhere 
 not doing 	 n't sit 
 act came 	 not enter 
 no 	 not otherwise 
 n't belong 	 not doing 
 n't wear 	 not 
 nothing further 	 not go 
 not abandon 	 further pursue 
 n't hold 	 not going 
 not better 	 better off 
 n't had 	 not adopt 
 n't crazy 	 not insane 
 not allowed 	 will have 
 not impossible 	 good 
 not comply 	 not follow 
 not fire 	 not shoot 
 not its 	 n't her 
 not found 	 n't here 
 not given 	 n't heard 
 not have 	 n't have 
 not related 	 of non- 
 not changed 	 even , 
 not set 	 had little 
 limited number 	 not well 
 not expected 	 would remain 
 n't match 	 not match 
 council calls 	 not sure 
 not including 	 other than 
 not good 	 rough 
 not interfere 	 obstacles to 
 not much 	 not too 
 ever , 	 not seen 
 not know 	 is undergoing 
 not get 	 denied to 
 been rendered 	 not kept 
 make proposals 	 not suggest 
 not well 	 franklin 
 not provide 	 not envisage 
 best efforts 	 not better 
 best effort 	 not better 
 not likely 	 hardly likely 
 - confusing 	 not wa- 
 not known 	 alien 
 be avoided 	 not try 
 not mean 	 answer is 
 not given 	 has little 
 not given 	 had little 
 not given 	 have little 
 not far 	 blocks away 
 not granted 	 get any 
 not submit 	 n't meant 
 not during 	 not in 
 not result 	 not involve 
 not include 	 got to 
 compared to 	 not against 
 not been 	 trying to 
 not been 	 tried to 
 n't enjoy 	 not appreciate 
 not very 	 minimally 
 a limited 	 not well 
 lacks the 	 not given 
 lack the 	 not given 
 it looked 	 not until 
 n't return 	 not return 
 not just 	 forward 
 not want 	 it refuses 
 other than 	 not including 
 not looking 	 flash , 
 n't that 	 not wearing 
 not submit 	 not communicate 
 not provided 	 we thought 
 not in 	 opposed to 
 it had 	 not well 
 not had 	 been possible 
 not have 	 been possible 
 never been 	 not attract 
 not fail 	 obliged to 
 not too 	 not much 
 not just 	 never 
 not doing 	 been concerned 
 not well 	 even 
 of lack 	 not given 
 belief in 	 not convinced 
 not exceed 	 be met 
 accepted that 	 not think 
 " restricted 	 not authorized 
 received many 	 not less 
 not given 	 never even 
 not getting 	 n't raise 
 not able 	 not impossible 
 n't there 	 not around 
 not gone 	 throughout , 
 requested in 	 not in 
 not to 	 turned down 
 not going 	 forget it 
 not more 	 , tops 
 not been 	 shortage of 
 not supposed 	 anything ... 
 not preclude 	 not opposed 
 not preclude 	 not oppose 
 not doing 	 just out 
 are least 	 not long 
 not designed 	 would know 
 not long 	 of limited 
 not until 	 it looked 
 not we 	 is failing 
 not conducive 	 opposite is 
 not managed 	 have failed 
 not managed 	 has failed 
 not getting 	 n't easy 
 both been 	 not gone 
 not pretend 	 are substantial 
 obstacles to 	 not interfere 
 not permitted 	 never be 
 not much 	 unlikely 
 not fit 	 n't fit 
 not exist 	 not available 
 not so 	 under 
 not much 	 somewhat 
 n't any 	 not any 
 not covered 	 shut out 
 not if 	 except if 
 not elsewhere 	 nay 
 not entirely 	 not everything 
 , missing 	 not lack 
 not live 	 not experience 
 n't do 	 not wearing 
 not made 	 of failure 
 n't call 	 not 
 quite naturally 	 not surprisingly 
 not knowing 	 of ignorance 
 prevented from 	 not yet 
 not permitted 	 wo n't 
 not finish 	 not over 
 be drawn 	 not used 
 answer is 	 not mean 
 not within 	 not fall 
 of limited 	 not long 
 not yet 	 else 
 actuaily incorrect 	 not true 
 not find 	 n't met 
 not found 	 n't met 
 not just 	 are the 
 n't hit 	 not taken 
 not just 	 is the 
 not many 	 sparse 
 not affect 	 not harm 
 n't mind 	 not getting 
 n't risk 	 not going 
 not coming 	 's option 
 not adopted 	 thrown out 
 not move 	 not go 
 not move 	 not going 
 not here 	 just came 
 not give 	 be denied 
 not only 	 it has 
 not much 	 rarely 
 be kept 	 not supposed 
 not help 	 not let 
 not longer 	 that anymore 
 not indicate 	 not reflect 
 not see 	 i knew 
 not adequate 	 lack sufficient 
 not adequate 	 lacks sufficient 
 not go 	 writing on 
 not agree 	 fighting against 
 's missing 	 not contain 
 could only 	 not 
 not looking 	 our air 
 not allowed 	 must the 
 not trying 	 n't push 
 offence to 	 not permitted 
 been either 	 not meant 
 are either 	 not meant 
 are either 	 not mean 
 afraid ... 	 not scared 
 not even 	 till 
 not cover 	 not concerned 
 not covered 	 not concern 
 not cover 	 not concern 
 not specified 	 does not 
 not over 	 yet further 
 not get 	 gains a 
 not getting 	 gains a 
 not intruding 	 good too 
 n't exactly 	 not truly 
 not satisfied 	 unhappy about 
 not against 	 compared to 
 not observed 	 out for 
 not covered 	 off the 
 not permitted 	 offence to 
 not possibly 	 finding out 
 n't anything 	 not doing 
 sheets , 	 not interested 
 sheet , 	 not interested 
 not limited 	 less 
 not resist 	 not fail 
 to come 	 not 
 not too 	 short 
 not support 	 not vote 
 not another 	 getting a 
 been lacking 	 not achieve 
 not truly 	 really no 
 not need 	 be borne 
 not observe 	 not implement 
 being forced 	 not fail 
 be forced 	 not fail 
 small amounts 	 not long 
 not done 	 do here 
 not doing 	 do here 
 not wearing 	 n't do 
 not doing 	 with enough 
 not making 	 not confined 
 not going 	 n't require 
 not oblige 	 not impose 
 not your 	 not yours 
 not accept 	 decided against 
 not achieve 	 been lacking 
 not getting 	 n't wearing 
 not getting 	 n't wear 
 n't around 	 not here 
 not find 	 satisfied that 
 n't have 	 not following 
 being provided 	 not obliged 
 not expected 	 doubtful whether 
 impractical 	 not practicable 
 missing , 	 not found 
 not working 	 n't much 
 low level 	 not being 
 not conflict 	 not contrary 
 not following 	 n't have 
 not going 	 be zero 
 not going 	 prevents the 
 not exceeding 	 , huh 
 not report 	 not communicate 
 not appear 	 yet been 
 not to 	 be kept 
 not right 	 huh 
 not sufficient 	 not properly 
 not knowing 	 ignorance , 
 not target 	 not seek 
 not having 	 missing , 
 not go 	 are considered 
 not addressed 	 just let 
 not everyone 	 individual 
 not everyone 	 individuals 
 number includes 	 not deduct 
 not good 	 happy 
 , enough 	 not doing 
 not say 	 it appears 
 not adequately 	 not appropriate 
 not long 	 low 
 not allowed 	 " right 
 not worth 	 , stands 
 not connected 	 the independent 
 nothing " 	 not getting 
 not lose 	 be taken 
 not available 	 not possible 
 not yet 	 are free 
 not work 	 better now 
 not been 	 played a 
 n't check 	 not verify 
 , want 	 not thinking 
 , wanted 	 not thinking 
 not going 	 n't blame 
 not trying 	 n't plan 
 not do 	 guys do 
 not exclude 	 not impede 
 not going 	 of less 
 not supply 	 not submit 
 alien , 	 not involved 
 not well 	 having a 
 not well 	 had a 
 nothing has 	 not go 
 not adopted 	 turned down 
 been up 	 not here 
 not follow 	 not exactly 
 not 	 opposed to 
 others as 	 not limited 
 n't care 	 not trying 
 not getting 	 footsteps of 
 n't on 	 not in 
 n't yet 	 not already 
 not agree 	 voted down 
 evil is 	 not correctly 
 exercised the 	 not put 
 - enough 	 not doing 
 not coming 	 choices , 
 not coming 	 choice , 
 not if 	 not unless 
 difficult to 	 not easy 
 , never 	 not 
 not doing 	 outside of 
 not having 	 i hear 
 not request 	 not claim 
 not really 	 not wholly 
 nothing here 	 not getting 
 not doing 	 doing things 
 not done 	 doing things 
 not connected 	 independent , 
 right about 	 not doing 
 not work 	 best thing 
 very significant 	 not insignificant 
 not covered 	 fails to 
 almost useless 	 not useful 
 not too 	 somewhat 
 not getting 	 eventually lead 
 not only 	 this has 
 n't right 	 not right 
 denied . 	 not . 
 n't entirely 	 not entirely 
 not accept 	 not assume 
 not correctly 	 evil is 
 not gone 	 of always 
 not go 	 cease its 
 , devoid 	 not prepared 
 never be 	 not allowed 
 n / 	 not provided 
 not granted 	 than being 
 fails to 	 not covered 
 not following 	 n't do 
 be avoided 	 not have 
 n't the 	 not a 
 not been 	 never took 
 not be 	 never took 
 not worth 	 nobody has 
 not supposed 	 's nothing 
 n't deaf 	 not deaf 
 not limited 	 such other 
 lived up 	 not miss 
 not think 	 concerned , 
 not having 	 deprived of 
 n't keep 	 not bound 
 inadequate 	 not satisfactory 
 not permissible 	 completely unacceptable 
 not exactly 	 not much 
 , planned 	 not required 
 not have 	 have kept 
 not without 	 not free 
 out for 	 not found 
 n't anything 	 not 
 not going 	 be null 
 not ! 	 footsteps . 
 off from 	 not involved 
 'm on 	 not following 
 others have 	 not limited 
 not adopt 	 n't had 
 not about 	 not just 
 not true 	 a forged 
 not too 	 poorly 
 contraband , 	 not allowed 
 not reach 	 not met 
 not reached 	 not meet 
 not reach 	 not meet 
 not reached 	 not met 
 not prepare 	 not set 
 not here 	 been up 
 not wearing 	 n't that 
 not permitted 	 n't get 
 not fully 	 not well 
 not submit 	 not send 
 not close 	 not rule 
 not given 	 lacks the 
 not , 	 little bit 
 not close 	 far removed 
 not given 	 lack the 
 not gone 	 still a 
 not involve 	 n't involve 
 offences against 	 not comply 
 's nothing 	 not supposed 
 not wait 	 faces a 
 not good 	 worse 
 not subscribe 	 not accept 
 not been 	 freedom from 
 not identify 	 not refer 
 not sure 	 application has 
 not trying 	 n't feel 
 not connected 	 afghan independent 
 range that 	 not brought 
 not true 	 not so 
 of only 	 not given 
 not permitted 	 we fail 
 not going 	 n't tell 
 not seeing 	 single " 
 not nice 	 not right 
 not merely 	 does more 
 not looking 	 air , 
 not to 	 without giving 
 not 	 just not 
 opt out 	 not limited 
 not used 	 gap in 
 moratorium on 	 not allowed 
 not anything 	 okay 
 get out 	 not covered 
 n't meant 	 not submit 
 be accomplished 	 not get 
 's not 	 not , 
 shortage problem 	 not satisfied 
 not actually 	 not quite 
 not parallel 	 not coincide 
 be found 	 not ask 
 not reflect 	 not parallel 
 not qualify 	 are far 
 n't allow 	 not getting 
 n't allowed 	 not get 
 not agree 	 challenged by 
 not much 	 weak 
 not doing 	 nothing happened 
 not exactly 	 not real 
 prevent further 	 not let 
 not prepared 	 have refused 
 denied the 	 not your 
 limited , 	 not very 
 not list 	 further clarify 
 not really 	 not very 
 not really 	 eh 
 missing , 	 not produced 
 not permitted 	 not provide 
 not permit 	 not provide 
 not any 	 have failed 
 not any 	 has failed 
 not any 	 had failed 
 application has 	 not sure 
 place as 	 not produced 
 not given 	 will persuade 
 not up 	 it failed 
 not up 	 it fails 
 not provide 	 not deliver 
 not suggest 	 not disclose 
 not confined 	 never an 
 not miss 	 lived up 
 n't tell 	 not getting 
 n't do 	 not following 
 n't serve 	 not getting 
 not looking 	 , air 
 not much 	 alright 
 fell below 	 not enough 
 not thinking 	 're using 
 n't make 	 not 
 not much 	 gradually 
 not merit 	 n't deserve 
 not so 	 n't as 
 not receive 	 are as 
 all good 	 not supposed 
 not counting 	 by without 
 not . 	 further . 
 excited , 	 not ... 
 not accessible 	 without access 
 minimum that 	 not exceeding 
 everybody else 	 not everybody 
 flawed 	 not true 
 be lost 	 not take 
 not accept 	 , citing 
 not refer 	 has nothing 
 of avoiding 	 not do 
 not put 	 exercised the 
 not contemplate 	 not consider 
 not fail 	 being forced 
 longer be 	 not the 
 not fail 	 be forced 
 not put 	 it fails 
 not bad 	 quite 
 not much 	 bit 
 are many 	 not in 
 not long 	 limited 
 made little 	 not well 
 not impose 	 not oblige 
 not good 	 rotten 
 even , 	 not changed 
 providing better 	 not better 
 provide better 	 not better 
 not allowed 	 little , 
 " right 	 not allowed 
 not known 	 be unable 
 not challenge 	 not deny 
 not known 	 were unable 
 not known 	 is unable 
 not known 	 are unable 
 not known 	 been unable 
 not known 	 was unable 
 not know 	 are unable 
 not think 	 accepted that 
 not specify 	 not disclose 
 not sit 	 than being 
 not interested 	 especially that 
 challenged by 	 not agree 
 not envisage 	 not consider 
 please stop 	 not doing 
 not getting 	 nothing you 
 n't expect 	 not looking 
 not now 	 neither 
 c without 	 not been 
 not until 	 before reaching 
 n't here 	 not found 
 obliged to 	 not fail 
 a few 	 not limited 
 especially , 	 not interested 
 not adopt 	 not approved 
 not rule 	 not close 
 not adopted 	 not approved 
 not adopt 	 not approve 
 not limited 	 others have 
 not limited 	 others as 
 , abducted 	 not wearing 
 , outside 	 not going 
 not help 	 not promote 
 not seen 	 ever be 
 not seen 	 ever been 
 not already 	 has failed 
 not already 	 had failed 
 not already 	 have failed 
 not be 	 only 
 not seen 	 ever met 
 not gone 	 ... still 
 of continued 	 not disputed 
 limited in 	 not widely 
 not here 	 home 
 not exceeding 	 longer be 
 not rely 	 not base 
 not only 	 inter 
 an empty 	 not used 
 not matter 	 not from 
 not right 	 mal 
 not safe 	 not convinced 
 not . 	 required . 
 lack the 	 not its 
 not very 	 not real 
 not come 	 not get 
 not come 	 not got 
