[ADJP] | non-toxic | not toxic 
[X] | not | " t 
[X] | not | n't about 
[ADJP] | naive | not guilty 
[X] | not | just do n't 
[ADJP] | inconsiderable | not significant 
[ADVP] | just | not but 
[ADVP] | lately | not long ago 
[X] | not | n't not 
[X] | not | has n't it 
[ADJP] | undesirable | not appropriate 
[VP] | not | don 't 
[ADJP] | indeterminate | not specified 
[X] | not | i did n't 
[S] | pending | not fixed 
[X] | not | have n't i 
[X] | not | not yet been 
[ADVP] | wrongly | not well 
[X] | not | they fail 
[S] | not | it is n't 
[ADJP] | non-profit-making | not for profit 
[X] | not | did n't they 
[X] | no | not yet been 
[ADJP] | bad | not ok 
[ADJP] | inefficient | not efficient 
[X] | not | fuck , no 
[ADJP] | normal | not surprising 
[ADJP] | handsome | not bad 
[ADJP] | weak | not sufficient 
[INTJ] | not | hey , no 
[X] | not | hey , no 
[X] | not | without the 
[X] | not | be unable to 
[X] | not | no , he 's not 
[X] | not | are unable 
[X] | not | n't the 
[NP] | insufficiency | not enough 
[X] | not | don ' 
[ADJP] | redundant | not applicable 
[ADJP] | fake | not right 
[ADJP] | unsuitable | not suitable 
[X] | alia | not limited to 
[ADJP] | challenging | not easy 
[ADJP] | irresponsible | not serious 
[ADJP] | ambiguous | not clear 
[VP] | not | wo n't 
[X] | not | no criminal 
[ADVP] | almost | not far 
[X] | not | is neither 
[ADVP] | inevitably | not surprisingly 
[X] | shall | not allowed 
[X] | not | did n't she 
[ADJP] | irrelevant | not essential 
[X] | not | is failing 
[X] | not | not allowed 
[X] | not | i 'm not 
[X] | not | n't have 
[X] | not | there 's no 
[INTJ] | not | no , please 
[X] | not | no , please 
[ADJP] | ineligible | not admissible 
[X] | not | of ne 
[INTJ] | not | no , neo 
[X] | not | are failing 
[ADJP] | unfair | not reasonable 
[X] | no | not making 
[ADVP] | so | not really so 
[X] | not | to refrain 
[X] | not | n't for 
[X] | not | un no. 
[SBAR] | not | you do n't 
[ADJP] | distinct | not equal 
[ADJP] | unclear | not sure 
[ADVP] | except | not only 
[X] | not | has n't 
[X] | not | be without 
[ADJP] | short | not much 
[X] | until | not till 
[X] | if | not unless 
[X] | not | to proceed without 
[NP] | not | the moment 
[ADVP] | close | not too far 
[ADJP] | alright | not bad 
[X] | not | is unable 
[SBAR] | not | no , eddie 
[X] | not | that fail 
[X] | not | i 'm afraid not 
[VP] | not | was n't he 
[X] | not | was n't he 
[VP] | not | ai n't you 
[X] | not | ai n't you 
[FRAG] | also | not least 
[ADJP] | superfluous | not necessary 
[ADJP] | low | not many 
[ADJP] | impossible | not sustainable 
[ADVP] | difficile | not easily 
[X] | not | 's failure to 
[X] | even | not to say 
[X] | not | she failed to 
[ADVP] | n't | not not 
[X] | not | n't do that 
[NP] | not | no. 973 
[VP] | not | 's remembered 
[ADJP] | unnatural | not normal 
[X] | not | -lrb- no. 
[X] | not | heading no. 
[ADJP] | unlimited | not determined 
[ADJP] | pretend | not serious 
[ADJP] | living | not alive 
[ADJP] | low | not much 
[X] | not | , do n't you think 
[X] | no | not wearing 
[NP] | easy | not a problem 
[INTJ] | not | er , no 
[ADVP] | soon | not long ago 
[ADVP] | hard | not well 
[ADJP] | inconclusive | not clear 
[VP] | not | is n't 
[ADJP] | optional | not mandatory 
[ADJP] | unusual | not right 
[INTJ] | not | no , see 
[X] | not | yet , 
[X] | not | to fail 
[X] | not | hell no 
[X] | not | that you do n't 
[X] | not | no programme 
[X] | not | now , do 
[ADVP] | elsewhere | not only 
[X] | not | we fail 
[X] | not | you did n't 
[X] | not | well , do 
[X] | not | , huh 
[X] | not | yet to 
[ADJP] | unreasonable | not appropriate 
[ADVP] | wrong | not adequately 
[ADJP] | prevalent | not uncommon 
[X] | denied | not approved 
[X] | not | nothing to do 
[ADJP] | unacceptable | not desirable 
[X] | not | n't ... 
[ADJP] | lacking | not available 
[FRAG] | none | not one 
[INTJ] | not | yeah , no 
[X] | not | yeah , no 
[ADVP] | away | not far from here 
[X] | not | to refrain from 
[ADJP] | unaltered | not modified 
[ADJP] | wrong | not , dude 
[X] | not | no , you ca n't 
[ADJP] | impressive | not bad 
[ADVP] | nevertheless | not less 
[ADVP] | soon | not too long ago 
[TOP] | wonderful | not bad , eh ? 
[X] | off | not selected 
[NP] | sure | not a problem 
[FRAG] | particularly | not least 
[X] | not | - do n't 
[X] | not | just wo 
[S] | too | not least 
[X] | not | n't they 
[X] | not | do nothing to 
[ADJP] | habitual | not unusual 
[X] | not | have failed 
[X] | not | would n't you 
[ADJP] | reprehensible | not acceptable 
[X] | not | nothing of 
[X] | not | no fucking 
[X] | shall | not be allowed 
[ADJP] | adequate | not enough 
[ADJP] | improper | not ok 
[X] | not | he 's not 
[NP] | not | the failure 
[ADJP] | flawed | not correct 
[ADVP] | within | not later 
[X] | not | no ... not 
[S] | not | deny it 
[ADJP] | shortly | not long 
[X] | none | not a single 
[ADJP] | poor | not sufficient 
[ADVP] | without | not yet 
[X] | not | that failed to 
[ADJP] | optional | not compulsory 
[X] | not | instead of 
[ADVP] | too | not enough 
[X] | not | that fail to 
[ADVP] | recently | not long after 
[X] | not | now do 
[X] | not | , yet , 
[X] | not | shall only 
[ADJP] | considerable | not insignificant 
[ADJP] | limited | not much 
[X] | not | uh , not 
[ADVP] | frequently | not often 
[X] | not | free of 
[X] | not | which fail to 
[ADVP] | inadequately | not enough 
[X] | not | i mean , not 
[X] | not | no big 
[X] | not | the failure 
[ADVP] | golly | not excessively 
[ADVP] | jeez | not excessively 
[ADJP] | lousy | not good 
[X] | not | has failed to 
[X] | not | ' t 
[X] | shall | not allowed to 
[ADJP] | minimal | not very important 
[NP] | too | not enough 
[ADVP] | scarcely | not easily 
[ADVP] | leonard | not now 
[X] | not | it 's no 
[ADVP] | strongly | not at all 
[X] | not | refuse to 
[X] | not | no , they 're not 
[ADJP] | moot | not important 
[INTJ] | not | wait , no 
[X] | not | wait , no 
[X] | none | not one of 
[X] | attention | not careful 
[INTJ] | not | no , honey 
[X] | not | no , honey 
[ADVP] | nearby | not too far 
[X] | not | n't that 
[X] | not | place of 
[ADVP] | hardly | not even 
[ADJP] | weird | not normal 
[X] | not | including not 
[X] | not | impossible to 
[NP] | anyone | not one 
[X] | not | will only 
[X] | not | he failed to 
[ADJP] | unreal | not true 
[TOP] | n.a. | not applicable 
[ADJP] | important | not insignificant 
[X] | not | nothin ' 
[X] | not | . no. 
[ADVP] | badly | not adequately 
[X] | not | please , do 
[X] | not | , rather 
[X] | not | ca n't you 
[X] | not | they failed 
[X] | not | do n't you just 
[NP] | underemployment | not enough 
[INTJ] | not | no , dude 
[VP] | not | were n't you 
[X] | not | were n't you 
[ADJP] | miserable | not possible 
[ADJP] | ok | not bad 
[ADVP] | hardly | not too 
[X] | not | that ai n't 
[ADVP] | totally | not at all 
[X] | not | just did 
[ADJP] | sorry | not cool 
[ADJP] | unnecessary | not applicable 
[ADJP] | silly | not jaydee 
[ADVP] | furthermore | not only that 
[ADJP] | fine | not serious 
[ADJP] | inconceivable | not acceptable 
[ADJP] | unfilled | not allocated 
[ADVP] | hardly | not reaily 
[X] | not | she failed 
[X] | not | they failed to 
[ADVP] | n't | not just 
[ADVP] | away | not even here 
[X] | not | he failed 
[ADJP] | weak | not enough 
[X] | not | not very 
[X] | before | not later than 
[ADVP] | hunt | not here 
[S] | no | not , sir 
[X] | not | n't even 
[ADVP] | not | just not 
[X] | not | do n't , do n't 
[ADJP] | sparse | not many 
[ADVP] | near | not far 
[X] | not | are away from 
[ADJP] | unwell | not right 
[X] | none | not any 
[NP] | tara | not everything 
[X] | not | please , no 
[ADJP] | small | not many 
[X] | not | omitted to 
[X] | not | opposed to 
[X] | not | and non 
[ADVP] | scarcely | not readily 
[S] | not | please do n't 
[VP] | not | please do n't 
[ADJP] | unconscionable | not permissible 
[INTJ] | not | uh , no , no 
[ADJP] | unsupported | not compatible 
[ADJP] | panicky | not possible 
[ADJP] | sensible | not unreasonable 
[ADJP] | thin | not much 
[ADVP] | before | not later 
[ADJP] | hard | not as easy 
[X] | not | 's none 
[FRAG] | evil | not good 
[VP] | not | have n't you 
[X] | not | have n't you 
[X] | not | just ca 
[X] | not | had failed to 
[ADJP] | different | not identical 
[SBAR] | not | i 'm not 
[S] | not | i 'm not 
[ADJP] | inaccurate | not right 
[ADJP] | unworkable | not possible 
[X] | not | 's failure 
[X] | against | not in favour 
[ADJP] | few | not enough 
[X] | not | not , however 
[ADJP] | mistaken | not correct 
[X] | no | not now 
[ADJP] | inappropriate | not right 
[ADJP] | wide | not inconsiderable 
[X] | not | , does n't it 
[ADJP] | unconscionable | not acceptable 
[S] | not | not , sir 
[ADVP] | minus | not so 
[ADJP] | indefensible | not acceptable 
[ADJP] | superfluous | not applicable 
[X] | not | actually , no 
[ADJP] | disingenuous | not true 
[X] | not | not ... 
[ADJP] | dirty | not cool 
[VP] | not | do nothing 
[X] | not | wo n't you 
[X] | not | who do n't 
[X] | not | - no , i do n't 
[ADJP] | conflicting | not compatible 
[X] | not | it was n't 
[ADJP] | incomplete | not perfect 
[ADJP] | unknown | not available 
[TOP] | unknown | not available 
[X] | not | would never 
[X] | not | of failure to 
[X] | not | not otherwise 
[INTJ] | not | okay , no 
[X] | not | okay , no 
[X] | not | that failed 
[X] | not | have n't we 
[X] | not | bear in 
[X] | not | i would n't 
[X] | not | you 're not 
[X] | not | , are n't you 
[ADJP] | poor | not enough 
[ADJP] | irrelevant | not necessary 
[X] | not | no , i ai n't 
[ADJP] | fucked | not jaydee 
[ADJP] | unthinkable | not acceptable 
[ADJP] | easier | not hard 
[X] | not | it wo n't 
[ADVP] | merely | not only 
[X] | not | n't get 
[ADJP] | adequate | not sufficient 
[ADJP] | inadequate | not relevant 
[X] | no | not getting 
[X] | not | 2 no 
[ADVP] | immediately | not long 
[X] | not | are without 
[X] | often | not uncommon 
[ADJP] | vast | not inconsiderable 
[ADVP] | pat | not even 
[ADJP] | unrealistic | not real 
[X] | can | not able 
[X] | not | no , it was n't 
[ADVP] | apart | not just 
[ADJP] | untrue | not , dude 
[TOP] | warning | not classified 
[X] | not | - no. 
[X] | not | the failure to 
[X] | not | really do not 
[X] | not | not true 
[X] | not | , rather than 
[ADJP] | voluntary | not mandatory 
[ADJP] | substantial | not less 
[ADVP] | low | not very 
[ADJP] | costly | not cheap 
[ADVP] | inappropriately | not well 
[X] | not | it without 
[ADJP] | incorrect | not good 
[ADJP] | meaningless | not necessary 
[X] | not | who failed 
[X] | not | you ca n't 
[ADJP] | modest | not much 
[FRAG] | particular | not least 
[ADJP] | phony | not , dude 
[ADJP] | noticeable | not insignificant 
[X] | not | n't she 
[ADJP] | unsafe | not sure 
[VP] | not | 'm not 
[X] | man | not be implemented 
[X] | not | n't do 
[SBAR] | not | i did n't 
[S] | not | i did n't 
[ADVP] | bit | not well 
[X] | not | no , i ca n't 
[ADJP] | harmless | not bad 
[X] | not | we fail to 
[ADJP] | infeasible | not impossible 
[NP] | person | not one 
[X] | person | not one 
[X] | no | not part 
[X] | not | neither a 
[INTJ] | not | - oh , no 
[X] | not | - oh , no 
[ADJP] | ugly | not good 
[ADVP] | amiss | not well 
[X] | not | will neither 
[X] | not | who fail 
[X] | not | rather , 
[ADJP] | unaltered | not changed 
[X] | not | failure of 
[ADJP] | doubtful | not safe 
[X] | no | not maintain 
[X] | not | n't on 
[X] | not | you ca 
[ADVP] | poor | not well 
[ADVP] | not | not only 
[NP] | inadequacies | not enough 
[ADJP] | inappropriate | not acceptable 
[ADJP] | insufferable | not possible 
[ADJP] | meaningless | not significant 
[X] | not | is nothing 
[VP] | not | ca n't 
[X] | not | wo n't we 
[X] | not | it neither 
[SBAR] | not | it is n't 
[X] | not | , do n't they 
[X] | not | nor is 
[X] | no | not think so 
[ADJP] | satisfactory | not ideal 
[X] | not | ... do 
[X] | not | ai n't she 
[X] | not | , are n't i 
[X] | not | as opposed 
[ADVP] | never | not yet 
[ADVP] | latest | not now 
[ADVP] | completely | not at all 
[X] | not | , did n't you 
[ADVP] | fewer | not as 
[X] | no | not otherwise 
[X] | not | - uh , no 
[ADJP] | misused | not right 
[X] | not | not in fact 
[ADVP] | ill | not easily 
[ADJP] | voluntary | not compulsory 
[ADJP] | even | not least 
[ADJP] | difficult | not obvious 
[NP] | anything | not much 
[VP] | not | 're not 
[ADJP] | unavailable | not possible 
[ADVP] | no. | not yet 
[X] | against | not support 
[X] | not | this ai n't 
[ADJP] | no | not possible 
[INTJ] | not | - nope 
[X] | not | - nope 
[ADVP] | no | not now 
[FRAG] | no | not now 
[TOP] | none | not one . 
[NP] | shortfall | not enough 
[ADJP] | negligible | not very important 
[ADVP] | least | not even 
[ADJP] | irrelevant | not useful 
[SBAR] | not | it 's not 
[X] | as | not unlike 
[ADJP] | unreasonable | not normal 
[ADJP] | scarce | not many 
[X] | not | that fails 
[X] | danger | not safe 
[SBAR] | not | they do n't 
[S] | not | they do n't 
[X] | disability | not able 
[ADJP] | erroneous | not right 
[X] | no | not such 
[X] | no | not stop 
[ADJP] | irreconcilable | not compatible 
[ADJP] | unclear | not transparent 
[ADJP] | evil | not right 
[ADJP] | lower | not as important 
[X] | not | , is n't he 
[TOP] | initial | not yet received 
[X] | error | not mistaken 
[ADJP] | identify | not determined 
[ADJP] | tired | not jaydee 
[X] | not | god , no 
[ADJP] | easier | not difficult 
[FRAG] | easier | not difficult 
[X] | not | - nah 
[X] | not | not quite 
[NP] | not | no. 33480 
[X] | not | no. 33480 
[X] | not | who fail to 
[X] | not | no extra 
[X] | not | borne in 
[ADJP] | ridiculous | not serious 
[ADVP] | no | not just 
[X] | not | not be able to 
[ADJP] | near | not too distant 
[X] | not | ca n't i 
[INTJ] | not | no , look 
[X] | not | no , look 
[X] | not | n't in 
[ADJP] | small | not very important 
[X] | not | nor to 
[ADVP] | low | not much 
[NP] | low | not much 
[NP] | nobody | not everyone 
[ADVP] | nowhere | not even 
[ADJP] | unjustified | not right 
[X] | shall | not permitted to 
[X] | not | and neither 
[X] | not | that fails to 
[ADJP] | outrageous | not acceptable 
[ADVP] | not | not now 
[ADJP] | invalid | not correct 
[ADVP] | ill | not readily 
[X] | not | she 's not 
[X] | not | , do n't i 
[X] | not | i mean , no 
[X] | not | oh , no , sir 
[X] | not | do n't you agree 
[ADVP] | actually | not really , 
[ADJP] | broad | not inconsiderable 
[X] | not | not a case 
[ADJP] | obsolete | not applicable 
[X] | no | not really 
[X] | not | they wo n't 
[S] | not | this is not the case 
[ADVP] | little | not too 
[ADJP] | erroneous | not true 
[S] | not | it does n't 
[ADJP] | meaningless | not useful 
[ADJP] | common | not unusual 
[X] | not | please do not 
[X] | not | is absent from 
[X] | not | sales no 
[X] | not | a failure 
[NP] | none | not a thing 
[X] | not | simply do 
[X] | not | -no , not 
[S] | other | not limited to 
[ADJP] | moot | not available 
[X] | not | rather not 
[X] | not | that does n't 
[ADVP] | geez | not excessively 
[X] | shall | not permitted 
[NP] | nothin | not a thing 
[ADJP] | uncertain | not safe 
[X] | like | not unlike 
[ADJP] | untrue | not accurate 
[X] | not | were n't 
[X] | not | , ai n't it 
[ADJP] | crazy | not funny 
[ADJP] | harmless | not harmful 
[ADJP] | bad | not desirable 
[X] | not | , did n't he 
[X] | not | the lack of 
[ADJP] | unfeasible | not impossible 
[ADVP] | never | not even 
[ADJP] | redundant | not useful 
[X] | not | absence without 
[X] | not | decide not 
[X] | not | n't think 
[ADJP] | unachievable | not possible 
[X] | not | none at 
[ADJP] | especiaily | not least 
[X] | not | then no 
[ADVP] | recently | not long afterwards 
[SBAR] | not | you wo n't 
[S] | not | you wo n't 
[X] | not | of gross 
[X] | not | n't it be 
[ADJP] | badly | not good 
[ADJP] | objectionable | not permissible 
[ADJP] | unacceptable | not eligible 
[ADJP] | usual | not unusual 
[X] | even | not least 
[ADJP] | phony | not correct 
[ADVP] | no | not otherwise 
[X] | not | are not allowed 
[ADJP] | disgraceful | not acceptable 
[ADJP] | few | not less 
[ADJP] | noticeable | not inconsiderable 
[X] | not | they 're not 
[ADJP] | impracticable | not impossible 
[X] | not | -no , i 'm not 
[ADVP] | avoid | not too much 
[X] | not | is not something 
[ADJP] | noticeable | not negligible 
[S] | not | you did n't 
[ADJP] | insignificant | not likely 
[ADVP] | frequently | not infrequently 
[X] | less | not nearly 
[X] | none | not a 
[ADJP] | minimal | not many 
[X] | not | have failed to 
[SBAR] | not | he did n't 
[S] | not | he did n't 
[X] | not | he did n't 
[X] | only | not till 
[ADVP] | closely | not far 
[X] | not | - no , i 'm not 
[ADJP] | inhumane | not suitable 
[X] | not | rather than a 
[X] | not | of failure 
[X] | not | which failed 
[ADJP] | superfluous | not useful 
[NP] | short | not long 
[X] | not | are failing to 
[ADVP] | slim | not excessively 
[ADVP] | n't | not well 
[ADJP] | anything | not much 
[ADVP] | anything | not much 
[ADJP] | sick | not ill 
[ADJP] | low | not very important 
[ADVP] | recently | not too long 
[ADJP] | mistaken | not right 
[X] | not | no , it 's not okay 
[ADVP] | not | not otherwise 
[ADJP] | possible | not feasible 
[X] | denied | not issued 
[ADJP] | unhealthy | not reasonable 
[ADJP] | inconvenient | not appropriate 
[X] | not | oh , do n't 
[ADJP] | marginal | not significant 
[X] | not | , did n't it 
[ADVP] | least | not more 
[X] | not | that i do n't 
[ADJP] | huh | not , grandpa 
[ADJP] | unreasonable | not acceptable 
[ADJP] | crazy | not right 
[X] | no | not just 
[ADJP] | non-compliant | not receivable 
[NP] | few | not enough 
[X] | not | it hardly 
[ADVP] | more | not anymore 
[FRAG] | more | not anymore 
[X] | more | not anymore 
[X] | not | no , i just 
[X] | not | not mean 
[X] | not | no , forget it 
[ADVP] | enough | not long enough 
[ADJP] | confused | not sure 
[ADVP] | no | not really 
[X] | more | not still 
[X] | not | ... do n't 
[X] | not | no , jack 
[ADJP] | insulting | not right 
[X] | not | of course not 
[ADJP] | bullshit | not true 
[X] | disability | not capable 
[NP] | not | nothing to 
[X] | shall | not be permitted 
[ADJP] | shortly | not many 
[X] | not | that are n't 
[VP] | not | are n't 
[X] | not | ca n't he 
[X] | not | no , i would n't 
[INTJ] | not | no , sam 
[X] | not | no , sam 
[X] | not | without an 
[ADJP] | hopeless | not possible 
[X] | not | is n't there 
[X] | not | no , really 
[X] | not | yeah , not 
[X] | not | who are n't 
[X] | not | certainly do not 
[ADVP] | no | not simply 
[X] | against | not only against 
[X] | not | no , he was n't 
[ADJP] | unkind | not correct 
[X] | not | , do n't it 
[X] | not | is n't that right 
[ADVP] | more | not longer 
[X] | not | government not 
[X] | not | , are n't we 
[ADJP] | deficient | not satisfactory 
[X] | not | are unable to 
[X] | not | ai n't no 
[ADJP] | deficient | not adequate 
[X] | not | n't have any 
[X] | not | no , i mean 
[X] | not | non for 
[ADVP] | hardly | not very 
[X] | not | n't true 
[ADJP] | feasible | not possible 
[X] | especially | not least in 
[ADVP] | darn | not excessively 
[ADJP] | intolerable | not permissible 
[X] | not | - it 's not 
[ADVP] | n't | not even 
[X] | not | i ca n't 
[X] | not | short of 
[ADVP] | not | not quite 
[X] | not | look , do 
[ADVP] | worse | not well 
[X] | not | - hell , no 
[ADJP] | undetermined | not known 
[ADJP] | inadequate | not suitable 
[ADJP] | wrong | not acceptable 
[ADVP] | not | not really 
[ADVP] | gosh | not excessively 
[ADJP] | unaffected | not modified 
[X] | less | not more 
[ADVP] | not | not again 
[ADVP] | ever | not once 
[X] | not | n't there 
[X] | not | i do n't think so 
[NP] | deficiency | not enough 
[X] | not | has n't he 
[ADJP] | redundant | not necessary 
[X] | not | neither the 
[X] | not | i have n't 
[X] | not | i do n't mean 
[X] | not | he does n't 
[ADJP] | practicable | not feasible 
[X] | not | it did n't 
[ADVP] | barely | not easily 
[ADVP] | absolutely | not at all 
[ADJP] | scarce | not sufficient 
[X] | not | has yet 
[ADJP] | unnatural | not right 
[NP] | not | no. 31363 
[VP] | not | do n't do it 
[X] | not | do n't do it 
[NP] | not | no. 2545 
[ADJP] | short | not enough 
[ADJP] | unconscionable | not reasonable 
[NP] | not | the lack 
[INTJ] | not | catalogue no 
[X] | not | catalogue no 
[ADJP] | unlimited | not limited 
[ADJP] | immaterial | not relevant 
[X] | not | , was n't it 
[NP] | not | the absence 
[INTJ] | not | no , dad 
[X] | not | no , dad 
[NP] | no | not a thing 
[X] | no | not a thing 
[ADJP] | reasonnable | not unreasonable 
[X] | not | who failed to 
[ADJP] | sick | not good 
[ADJP] | understandable | not surprising 
[ADJP] | absent | not available 
[ADVP] | inside | not later 
[S] | not | i ca n't 
[X] | not | which fails 
[X] | not | s not 
[X] | no | not simply 
[X] | not | mean , 
[INTJ] | not | - no , sir 
[X] | not | - no , sir 
[X] | not | no , it ca n't 
[INTJ] | not | no , wait 
[X] | not | no , wait 
[X] | not | that is n't 
[X] | no | not a single 
[ADJP] | pricey | not cheap 
[ADJP] | inactive | not operational 
[ADVP] | fewer | not so much 
[ADVP] | merely | not but 
[X] | not | would only 
[X] | denied | not allowed 
[ADVP] | not | not too 
[ADJP] | toothless | not effective 
[X] | no | not given 
[X] | not | not permitted 
[X] | not | , does n't he 
[X] | not | n't have a 
[X] | application | not sure 
[X] | not | you fail 
[INTJ] | not | -no , no 
[X] | not | -no , no 
[NP] | fine | not a problem 
[X] | not | , god 
[X] | not | keep in 
[ADVP] | not | ever before 
[X] | not | ever before 
[ADJP] | appalling | not acceptable 
[ADJP] | unlikely | not possible 
[X] | not | are neither 
[X] | not | not containing 
[ADJP] | inappropriate | not desirable 
[X] | responsibility | not responsible 
[ADJP] | unattainable | not impossible 
[ADVP] | around | not too far 
[ADVP] | nowhere | not far 
[X] | no | not waste 
[X] | not | 'm only 
[ADJP] | badly | not right 
[X] | not | , neither 
[ADJP] | moved | not appropriate 
[X] | not | have yet 
[X] | not | - oh no 
[ADVP] | barely | not readily 
[ADVP] | away | not far 
[NP] | deficiencies | not enough 
[NP] | person | not everyone 
[X] | not | refraining from 
[FRAG] | tough | not easy 
[ADJP] | underfunded | not sufficient 
[ADJP] | sketchy | not complete 
[X] | not | if it was n't for 
[VP] | not | have n't 
[X] | not | failed to do 
[X] | not | hey , do 
[ADVP] | mal | not adequately 
[ADJP] | weak | not satisfactory 
[X] | not | now no 
[X] | not | , did n't we 
[X] | especially | not least , 
[ADVP] | less | not even 
[X] | less | not even 
[ADVP] | wrong | not at all 
[X] | not | not able to 
[X] | not | a lack of 
[X] | not | " do n't 
[X] | not | is n't it , 
[ADJP] | rough | not easy 
[ADVP] | not | all right 
[X] | law | not entitled 
[X] | not | not allowed to 
[X] | not | , do n't we 
[X] | not | let 's not 
[ADVP] | minus | not so much 
[X] | not | n't go 
[ADJP] | alright | not serious 
[ADJP] | poor | not satisfactory 
[ADVP] | good | not well 
[INTJ] | not | -oh , no 
[X] | not | -oh , no 
[X] | not | absence from 
[ADVP] | no | not even 
[X] | not | it never 
[ADJP] | insignificant | not many 
[X] | not | being unable 
[X] | not | that 's no 
[ADJP] | perilous | not safe 
[ADJP] | unknown | not determined 
[X] | not | - you do n't 
[S] | not | you 're not 
[X] | not | be impossible 
[X] | not | not then 
[ADVP] | still | not always 
[X] | not | not been able to 
[ADVP] | n't | not much 
[ADJP] | few | not well 
[ADVP] | few | not well 
[NP] | limited | not much 
[X] | not | not able 
[NP] | not | a failure 
[X] | not | who 's not 
[X] | not | they did n't 
[ADJP] | inadmissible | not right 
[ADJP] | common | not uncommon 
[ADJP] | hurt | not good 
[X] | most | not either 
[VP] | not | fuck that 
[ADJP] | cool | not serious 
[S] | not | i mean 
[X] | not | i mean 
[X] | no | not then 
[X] | not | not happen 
[ADJP] | ineffective | not useful 
[TOP] | enforceability | not a problem . 
[X] | representation | not represented 
[X] | not | n't you think 
[X] | not | it do n't 
[ADVP] | iater | not now 
[VP] | not | am i right 
[X] | not | am i right 
[X] | not | at the very 
[ADJP] | missing | not available 
[ADVP] | poorly | not very 
[X] | not | is n't that 
[ADJP] | unsatisfactory | not adequate 
[ADJP] | close | not too distant 
[X] | note | not notice 
[NP] | nothing | not everything 
[ADJP] | misguided | not appropriate 
[ADJP] | illogical | not reasonable 
[X] | not | not here 
[SBAR] | not | we do n't 
[S] | not | we do n't 
[ADVP] | not | not right 
[X] | not | of unexploded 
[NP] | not | an absence 
[X] | less | not be as 
[X] | no | not something 
[ADVP] | least | not less 
[X] | not | person shall 
[X] | protection | not protected 
[ADJP] | low | not enough 
[X] | against | not approve of 
[X] | not | during the 
[X] | not | be borne 
[ADJP] | vain | not necessary 
[ADVP] | awry | not well 
[X] | not | no , stop 
[ADVP] | poorly | not much 
[ADJP] | unwell | not applicable 
[X] | not | , is n't she 
[X] | not | nor a 
[X] | most | not more 
[X] | not | is unable to 
[X] | use | not be used 
[ADVP] | merely | not just 
[X] | not | to never 
[X] | these | not such 
[X] | not | not therefore 
[X] | not | be prohibited 
[ADJP] | less | not complete 
[X] | not | n't fucking 
[X] | not | not making 
[X] | off | not set 
[ADJP] | insufferable | not acceptable 
[ADVP] | fewer | not so 
[X] | denied | not willing 
[ADJP] | surprising | not unusual 
[X] | not | all right 
[NP] | low | not long 
[ADJP] | mistaken | not true 
[ADVP] | even | not yet 
[X] | not | never be 
[ADJP] | realistic | not practical 
[X] | includes | not deduct 
[X] | can | not in a position 
[ADJP] | nonsense | not true 
[NP] | more | not everything 
[ADJP] | others | not limited to 
[NP] | nothing | not one 
[X] | not | is failing to 
[X] | no | not ... 
[X] | not | not put 
[X] | not | to avoid 
[X] | not | 're welcome 
[ADVP] | elsewhere | not just 
[ADJP] | wrong | not appropriate 
[ADJP] | low | not sufficient 
[X] | not | now not 
[X] | not | therefore not 
[ADVP] | not | ai n't 
[ADJP] | minimal | not much 
[ADJP] | just | not wrong 
[ADVP] | actually | not really 
[NP] | anybody | not one 
[ADJP] | non-compliant | not admissible 
[ADJP] | mandatory | not valid 
[NP] | okay | not a thing 
[ADJP] | shortly | not enough 
[FRAG] | more | not only that 
[X] | more | not only that 
[X] | no | not fail 
[S] | not | they 're not 
[X] | not | if we do n't 
[ADJP] | universal | not uncommon 
[X] | question | not gonna happen 
[ADJP] | misguided | not true 
[X] | not | no , i do n't know 
[NP] | not | my god 
[X] | not | my god 
[ADJP] | alive | not dead 
[ADVP] | again | not yet 
[X] | not | who fails 
[X] | not | 've no 
[FRAG] | nothing | not one 
[X] | not | n't help 
[ADVP] | short | not much 
[X] | not | nor the 
[X] | not | , you do n't 
[S] | not | there are no queries 
[ADJP] | unreliable | not acceptable 
[X] | not | n't nothing 
[ADJP] | unjust | not reasonable 
[X] | not | not actually 
[ADJP] | obliged | not right 
[S] | not | it did n't 
[X] | no | not provide 
[X] | not | ... without 
[ADVP] | evidently | not surprisingly 
[ADVP] | unless | not only 
[VP] | not | was n't 
[ADJP] | bad | not correct 
[ADJP] | small | not much 
[X] | not | no , you know 
[X] | not | n't going 
[ADJP] | wrong | not accurate 
[X] | not | ca n't we 
[ADVP] | hardly | not often 
[X] | not | no , never 
[ADJP] | untenable | not possible 
[X] | not | i guess not 
[X] | not | not get 
[ADJP] | unnecessary | not appropriate 
[X] | whether | not unless 
[X] | not | there is n't 
[X] | not | not the case 
[X] | less | not strictly 
[S] | not | it easy 
[X] | not | it easy 
[X] | not | are either 
[X] | not | no , we ca n't 
[ADVP] | soon | not much 
[X] | name | not hold 
[X] | not | not wearing 
[X] | not | , are n't they 
[ADVP] | away | not now 
[X] | even | not differ 
[X] | not | - you have n't 
[FRAG] | okay | not anything 
[X] | not | free from 
[ADJP] | inequitable | not right 
[X] | not | who fails to 
[ADJP] | clean | not ill 
[ADJP] | unaffordable | not sustainable 
[ADVP] | less | not more 
[X] | not | though not 
[X] | not | n't try 
[ADVP] | barely | not really 
[ADJP] | tenable | not sustainable 
[X] | use | not used 
