 not only [VP/SBAR,1] [SBAR,2] 	 not just [VP/SBAR,1] [SBAR,2] 
 it 's not about that 	 that 's not why 
 [PRP,1] 's not going [PP,2] 	 [PRP,1] 're not going [PP,2] 
 is not [VP/SBAR,1] because 	 is not [VP/SBAR,1] since 
 [VBD,1] n't [VB,2] these 	 [VBD,1] not [VB,2] these 
 hard not 	 difficult not 
 [DT,1] was not a 	 [DT,1] was n't a 
 you [VBP,1] n't [VB,2] me 	 you [VBP,1] not [VB,2] me 
 all , not 	 everyone , not 
 [SBAR/VP,1] are not prepared 	 [SBAR/VP,1] are not ready 
 " we do not believe 	 " we do n't think 
 , [VBD,1] he not ? 	 , [VBD,1] n't you ? 
 , [VBP,1] not [VB,2] . 	 , [VBP,1] n't [VB,2] . 
 not often you [VP,1] 	 rare to [VP,1] 
 [VBZ,1] n't [VP/NP,2] his 	 [VBZ,1] not [VP/NP,2] their 
 [VBP,1] n't play [PP/NNS,2] 	 [VBP,1] not playing [PP/NNS,2] 
 n't [PRP$,1] baby 	 not [PRP$,1] baby 
 [:,1] it 's none [PP,2] 	 [:,1] it 's not [PP,2] 
 [NP,1] [VBZ,2] not applied 	 [NP,1] [VBZ,2] not applicable 
 do not [VP/VBZ,1] is [.,2] 	 do n't [VP/VBZ,1] is [.,2] 
 [SBAR/VP,1] do not even [VB,2] 	 [SBAR/VP,1] do n't even [VB,2] 
 [VBP,1] n't [VB,2] in 	 [VBP,1] not [VB,2] in 
 is not [WRB,1] i 	 's not [WRB,1] i 
 moot 	 not relevant 
 there are no plans 	 it is not anticipated 
 not [WP,1] it looks like 	 n't [WP,1] you think 
 [VBZ,1] n't [VP/RB,2] 	 [VBZ,1] not [VP/RB,2] 
 [VBD,1] impossible [SBAR/VP,2] 	 [VBD,1] not possible [SBAR/VP,2] 
 [MD,1] only be [VP/FRAG,2] 	 [MD,1] not be [VP/FRAG,2] 
 [NP/VP,1] [VBD,2] not 	 [NP/VP,1] [VBD,2] n't 
 [SBAR/VP,1] does not recur 	 [SBAR/VP,1] is not repeated 
 [SBAR/VP,1] was not sufficient [TO,2] 	 [SBAR/VP,1] was not enough [TO,2] 
 's [SBAR/VP,1] ca n't 	 is [SBAR/VP,1] can not 
 not reply to [DT,1] [NP\DT,2] 	 not answer [DT,1] [NP\DT,2] 
 if she [VBD,1] not 	 if she [VBD,1] n't 
 which [VBZ,1] not yet 	 which [VBZ,1] still not 
 it 's not that [ADJP\RB,1] 	 this is not as [ADJP\RB,1] 
 [VBZ,1] neither [VBN,2] nor 	 [VBZ,1] not [VBN,2] or 
 [VBP,1] not [ADVP\RB,2] 	 [VBP,1] n't [ADVP\RB,2] 
 n't [VB,1] [VP\VB,2] 	 not [VB,1] [VP\VB,2] 
 n't change 	 not change 
 [DT,1] parties can not 	 [DT,1] parties are unable to 
 [VBZ,1] not permitted [.,2] 	 [VBZ,1] prohibited [.,2] 
 do not [VB,1] [VP,2] ! 	 do n't [VB,1] [VP,2] ! 
 does not have jurisdiction [VP/SBAR,1] 	 lacks jurisdiction [VP/SBAR,1] 
 [VBD,1] not vote [IN,2] 	 [VBD,1] n't vote [IN,2] 
 [VBZ,1] n't your 	 [VBZ,1] not your 
 [MD,1] not result [PP/NP,2] 	 [MD,1] not lead [PP/NP,2] 
 [ADJP/PP,1] [IN,2] failing 	 [ADJP/PP,1] [IN,2] not 
 [S/PP,1] not only [PP,2] but 	 [S/PP,1] not just [PP,2] but 
 % [CC,1] not [NP,2] 	 per cent [CC,1] not [NP,2] 
 not reply [PP/PP,1] [PP,2] 	 not respond [PP/PP,1] [PP,2] 
 was not [NP/NNP,1] [NNP,2] 	 was n't [NP/NNP,1] [NNP,2] 
 - not just 	 - not only 
 'm not [ADJP/VP,1] [VP/VP,2] 	 am not [ADJP/VP,1] [VP/VP,2] 
 do [RB,1] look [PP,2] . 	 're not [PP,2] [RB,1] . 
 [NP,1] have not established 	 [NP,1] have not shown 
 [VBP,1] not like [NP/NN,2] 	 [VBP,1] n't like [NP/NN,2] 
 - he [VBZ,1] n't [VB,2] 	 - he [VBZ,1] not [VB,2] 
 is not restricted [PP/PP,1] 	 is not limited [PP/PP,1] 
 is not [SBAR/NP,1] 	 's not [SBAR/NP,1] 
 these [NNS,1] can not 	 these [NNS,1] can never 
 in [NN,1] rather than 	 on [NN,1] and not 
 [VBP,1] not just 	 [VBP,1] not only 
 not saying [SBAR/NP,1] [NP,2] 	 n't say [SBAR/NP,1] [NP,2] 
 europe did not [VP/VP,1] 	 the eu does not [VP/VP,1] 
 [SBAR/VP,1] is not enough [VP/VP,2] 	 [SBAR/VP,1] is not sufficient [VP/VP,2] 
 [PRP,1] [VBP,2] not afraid 	 [PRP,1] [VBP,2] not scared 
 [IN,1] it [VBZ,2] not necessary 	 [IN,1] there [VBZ,2] no need 
 was not necessary [VP/NP,1] 	 was no need [VP/NP,1] 
 [VBZ,1] n't [SBAR/VBD,2] 	 [VBZ,1] not [SBAR/VBD,2] 
 [VBP,1] not sufficiently [VBN,2] 	 [VBP,1] insufficiently [VBN,2] 
 i ca n't go [PP,1] 	 i 'm not going [PP,1] 
 [MD,1] only be [VP/VP,2] is 	 [MD,1] not be [VP/VP,2] is 
 [ADJP/SBAR,1] [SBAR/RB,2] n't 	 [ADJP/SBAR,1] [SBAR/RB,2] not 
 'm not [ADJP/VP,1] [VP/RB,2] 	 am not [ADJP/VP,1] [VP/RB,2] 
 not possible [SBAR,1] 	 impossible [SBAR,1] 
 i did not vote 	 i have not voted 
 's [DT,1] [NP\DT,2] , not 	 is [DT,1] [NP\DT,2] , not 
 [NP,1] could not [VP,2] . 	 [NP,1] ca n't [VP,2] . 
 n't deserve [NP,1] 	 not deserve [NP,1] 
 [:,1] [S/RB,2] not . 	 [:,1] [S/RB,2] n't . 
 [VBP,1] n't see [SBAR/SBAR,2] 	 [VBP,1] not see [SBAR/SBAR,2] 
 [SBAR/VP,1] does not [VB,2] them 	 [SBAR/VP,1] do n't [VB,2] them 
 's not [IN,1] [PRP$,2] 	 's none [IN,1] [PRP$,2] 
 's not safe 	 's dangerous 
 'm not done [.,1] 	 'm coming back [.,1] 
 is not acceptable [COMMA,1] [SBAR/VP,2] 	 is unacceptable [COMMA,1] [SBAR/VP,2] 
 [NNS,1] do not [VP/VP,2] 	 [NNS,1] do n't [VP/VP,2] 
 she did n't even 	 she 's not even 
 who [VBP,1] n't have [NP,2] 	 that [VBP,1] not have [NP,2] 
 [VP/VP,1] did n't [VP/VP,2] be 	 [VP/VP,1] does not [VP/VP,2] be 
 not only [PP,1] [CC,2] 	 not just [PP,1] , [CC,2] 
 [MD,1] not find 	 [MD,1] not conclude 
 is not to say that 	 does not mean that 
 he did not know [SBAR/VP,1] 	 he was unaware [SBAR/VP,1] 
 [MD,1] not [VP/PP,2] because of 	 [MD,1] not [VP/PP,2] due to 
 're not going [PP,1] 	 do n't go [PP,1] 
 not have [DT,1] [S\DT,2] 	 n't have [DT,1] [S\DT,2] 
 [PRP,1] [VBP,2] n't know where 	 [PRP,1] [VBP,2] not know where 
 i 'm not going . 	 i 'm not leaving . 
 [PRP,1] does not respect 	 [PRP,1] does not meet 
 few [NNS,1] [VP/PP,2] 	 not many [NNS,1] [VP/PP,2] 
 does not provide [NP,1] 	 does not give [NP,1] 
 does not imply [SBAR/VP,1] [VP/S,2] 	 does not mean [SBAR/VP,1] [VP/S,2] 
 [DT,1] [VBZ,2] not for me 	 [DT,1] [VBZ,2] n't about me 
 - i [VP/S,1] [S/RB,2] n't 	 - i [VP/S,1] [S/RB,2] not 
 will not be possible [VP,1] 	 will be impossible [VP,1] 
 [DT,1] [NP\DT,2] is unavailable 	 [DT,1] [NP\DT,2] is not available 
 were not [VBN,1] because 	 are not [VBN,1] since 
 do not apply [PP,1] 	 are not applicable [PP,1] 
 [VBP,1] not confined 	 [VBP,1] not limited 
 lacked jurisdiction to 	 did not have jurisdiction to 
 [NP\DT,1] has not changed 	 [NP\DT,1] did not change 
 're not going to die . 	 're not dying . 
 [VBZ,1] not permitted [PP,2] 	 [VBZ,1] not allowed [PP,2] 
 do n't [VB,1] [VP\VB,2] . 	 do not [VB,1] [VP\VB,2] . 
 [DT,1] will not be 	 [DT,1] wo n't be 
 [SBAR/VP,1] [VBD,2] n't like 	 [SBAR/VP,1] [VBD,2] not like 
 [VBP,1] n't [NP/SBAR,2] 	 [VBP,1] not [NP/SBAR,2] 
 not [IN,1] the list . 	 not [IN,1] the guestlist . 
 [VBZ,1] not adequately [VBN,2] 	 [VBZ,1] not sufficiently [VBN,2] 
 do not think [S/VP,1] to 	 do not believe [S/VP,1] to 
 [NNP,1] wo n't [VP/S,2] 	 [NNP,1] would not [VP/S,2] 
 i [MD,1] not understand 	 i [MD,1] n't understand 
 were not able to [VP/NN,1] 	 were unable to [VP/NN,1] 
 did not [VB,1] how [S/VBN,2] 	 do n't [VB,1] how [S/VBN,2] 
 let alone the 	 not to mention the 
 [PRP,1] 's not mine 	 [PRP,1] 's not my apartment 
 are not enough to [VP/PP,1] 	 are not sufficient to [VP/PP,1] 
 not [TO,1] use 	 not [TO,1] exercise 
 not quite [JJ,1] [SBAR,2] 	 not entirely [JJ,1] [SBAR,2] 
 the complainant had not [VP/SBAR,1] 	 the author had not [VP/SBAR,1] 
 [NP,1] is not obliged 	 [NP,1] is not required 
 the customer does not [VB,1] 	 the client does not [VB,1] 
 false 	 not true 
 [NP\DT,1] is not sufficient [.,2] 	 [NP\DT,1] is not enough [.,2] 
 [WDT,1] was n't [VP/NNP,2] 	 [WDT,1] is not [VP/NNP,2] 
 that [NP,1] [VBD,2] not demonstrate 	 that [NP,1] [VBD,2] not show 
 but not [RB,1] [.,2] 	 but not right [RB,1] [.,2] 
 is not enough [VP,1] 	 is not sufficient [VP,1] 
 that it was not necessary 	 that there was no need 
 [VBP,1] not know why [S/PRP,2] 	 [VBP,1] n't know why [S/PRP,2] 
 [SBAR/VP,1] [MD,2] only act 	 [SBAR/VP,1] [MD,2] not act 
 was unacceptable [IN,1] [S/SBAR,2] 	 is not acceptable [IN,1] [S/SBAR,2] 
 do not know [NP,1] [PP,2] 	 do n't know [NP,1] [PP,2] 
 does not state [IN,1] 	 does not say [IN,1] 
 [WDT,1] deviate 	 [WDT,1] do not conform 
 not till [S,1] 	 not until [S,1] 
 do n't [VB,1] [ADJP/PP,2] 	 do not [VB,1] [ADJP/PP,2] 
 [S/SBAR,1] [SBAR/VP,2] is not possible 	 [S/SBAR,1] [SBAR/VP,2] is impossible 
 i [VBD,1] n't [VP/NNS,2] 	 i [VBD,1] not [VP/NNS,2] 
 not sure [IN,1] he [VP,2] 	 n't know [IN,1] he [VP,2] 
 have it [VP/RB,1] [RB,2] . 	 're not [VP/RB,1] [RB,2] . 
 is not permitted [VP/PP,1] 	 is not authorized [VP/PP,1] 
 well , not [RB,1] [.,2] 	 at least not [RB,1] [.,2] 
 should not be seen 	 should not be viewed 
 [MD,1] not rule out [NP/SBAR,2] 	 [MD,1] not exclude [NP/SBAR,2] 
 you must enter [NP,1] 	 [NP,1] was not entered 
 [IN,1] [NP,2] did not provide 	 [IN,1] [NP,2] did not submit 
 he did n't know [SBAR,1] 	 he did not know [SBAR,1] 
 does not have the authority to 	 has no power to 
 you [VBP,1] n't have [NP/NP,2] 	 you [VBP,1] not have [NP/NP,2] 
 we do not know [SBAR/NP,1] 	 we do n't know [SBAR/NP,1] 
 can not work [IN,1] 	 can not function [IN,1] 
 [SYM,1] we are not 	 [SYM,1] we do n't 
 [VBZ,1] not need [VP,2] 	 [VBZ,1] n't have [VP,2] 
 who [VBP,1] not require 	 that [VBP,1] not need 
 [VP/S,1] [NNP,2] wo n't 	 [VP/S,1] [NNP,2] will not 
 [VP/VP,1] [VBZ,2] not demonstrated 	 [VP/VP,1] [VBZ,2] failed to show 
 [EX,1] has n't [VP/NN,2] 	 [EX,1] has not [VP/NN,2] 
 [VBZ,1] n't mine 	 [VBZ,1] not mine 
 do n't [VB,1] where [S,2] 	 do not [VB,1] where [S,2] 
 so as not [VP/NP,1] [DT,2] 	 in order not [VP/NP,1] [DT,2] 
 -lrb- and not [NP,1] -rrb- 	 -lrb- rather than [NP,1] -rrb- 
 [SBAR/VP,1] [MD,2] not compel 	 [SBAR/VP,1] [MD,2] not force 
 [WDT,1] [VBP,2] not have 	 [WDT,1] [VBP,2] n't have 
 [IN,1] [DT,2] author does not 	 [IN,1] [DT,2] author failed to 
 is not easy to 	 's not easy to 
 know [SBAR/VP,1] [MD,2] not 	 knows [SBAR/VP,1] [MD,2] not 
 does not provide [PP/PP,1] 	 does not allow [PP/PP,1] 
 [:,1] [PRP,2] can not 	 [:,1] [PRP,2] ca n't 
 [SYM,1] [PRP,2] have not 	 [SYM,1] [PRP,2] did n't 
 could not [VP/JJ,1] [JJ,2] 	 could n't [VP/JJ,1] [JJ,2] 
 [VP/SBAR,1] [SBAR/VP,2] 'm not 	 [VP/SBAR,1] [SBAR/VP,2] am not 
 [MD,1] not [VB,2] transferred 	 [MD,1] not [VB,2] utilized 
 [DT,1] report failed [VP/NP,2] 	 [DT,1] report does not [VP/NP,2] 
 [SBAR/VP,1] do not think 	 [SBAR/VP,1] do not believe 
 [VBD,1] n't know [SBAR/VP,2] 	 [VBD,1] not know [SBAR/VP,2] 
 do n't [VP/ADVP,1] [ADVP,2] . 	 'm not [VP/ADVP,1] [ADVP,2] . 
 is not sufficient [SBAR/VP,1] [VP/NP,2] 	 is not enough [SBAR/VP,1] [VP/NP,2] 
 n't know if [PRP,1] [VBP,2] 	 not know if [PRP,1] [VBP,2] 
 was unable to find [NP/NN,1] 	 could not find [NP/NN,1] 
 she had n't [VP/S,1] 	 she had not [VP/S,1] 
 does not object 	 is not opposed 
 will not happen again [.,1] 	 wo n't happen again [.,1] 
 you [VBP,1] not in 	 you [VBP,1] not under 
 have not changed [IN,1] 	 did not change [IN,1] 
 does not [VB,1] solely [PP,2] 	 does not only [VB,1] [PP,2] 
 it [VBZ,1] not meet 	 it [VBZ,1] not respect 
 's not [SBAR/SBAR,1] [WRB,2] 	 is not [SBAR/SBAR,1] [WRB,2] 
 we do not [VB,1] [PRP,2] 	 we do n't [VB,1] [PRP,2] 
 does not work [PP,1] [.,2] 	 does not operate [PP,1] [.,2] 
 she [VBD,1] not [VP,2] 	 she [VBD,1] n't [VP,2] 
 has failed [S/NN,1] 	 does not [S/NN,1] 
 how about a [NP\DT,1] [.,2] 	 why not a [NP\DT,1] [.,2] 
 if you [VBP,1] n't have 	 if you [VBP,1] not have 
 [VBP,1] n't want [VP/NN,2] 	 [VBP,1] not want [VP/NN,2] 
 [VBZ,1] n't working [.,2] 	 [VBZ,1] not working [.,2] 
 [SBAR/VP,1] did not have [NP/PP,2] 	 [SBAR/VP,1] did not possess [NP/PP,2] 
 [INTJ,1] , you [VBP,2] not 	 [INTJ,1] , you [VBP,2] n't 
 we do n't know 	 it is not known 
 [MD,1] not [VP/VP,2] indicated 	 [MD,1] not [VP/VP,2] given 
 [DT,1] could only 	 [DT,1] could not 
 have not managed [TO,1] 	 have failed [TO,1] 
 [IN,1] they have not already 	 [IN,1] they have not yet 
 [VBP,1] not want to [VB,2] 	 [VBP,1] n't wanna [VB,2] 
 they could n't [VP,1] 	 they could not [VP,1] 
 [VBP,1] not understand [SBAR/NP,2] 	 [VBP,1] n't understand [SBAR/NP,2] 
 [DT,1] wo n't be [NP,2] 	 [DT,1] will not be [NP,2] 
 n't even [IN,1] [NP,2] 	 not even [IN,1] [NP,2] 
 if not , of the reasons 	 if not , why not 
 users do n't 	 users do not 
 this [VBP,1] n't over 	 we [VBP,1] not done 
 [VBZ,1] not show [SBAR/VP,2] 	 [VBZ,1] not indicate [SBAR/VP,2] 
 do not [VB,1] [VP,2] ? 	 do n't [VB,1] [VP,2] ? 
 not [PP/PRP,1] [PRP,2] 	 n't [PP/PRP,1] [PRP,2] 
 not [JJ,1] [ADVP,2] 	 n't [JJ,1] [ADVP,2] 
 ai n't [VBG,1] [VP,2] . 	 'm not [VBG,1] [VP,2] . 
 not do [DT,1] [PP,2] 	 n't do [DT,1] [PP,2] 
 [PRP,1] [VBP,2] not just 	 [PRP,1] [VBP,2] not only 
 [NP\DT,1] is not negligible 	 [NP\DT,1] is not insignificant 
 [VBZ,1] not know where 	 [VBZ,1] n't know where 
 - [PRP,1] [VBP,2] not understand 	 - [PRP,1] [VBP,2] n't understand 
 who have not attained 	 who have not reached 
 [VBZ,1] failed [S/PP,2] 	 [VBZ,1] not [S/PP,2] 
 now more [IN,1] [RB,2] . 	 not [IN,1] [RB,2] . 
 we do n't [VB,1] [SBAR/VP,2] 	 we do not [VB,1] [SBAR/VP,2] 
 , [PRP,1] [MD,2] not . 	 , [PRP,1] [MD,2] n't . 
 president shall not 	 chairman shall not 
 [SBAR/VP,1] does not want [NP,2] 	 [SBAR/VP,1] does n't want [NP,2] 
 [VBD,1] not respond . 	 [VBD,1] not reply . 
 is unacceptable [TO,1] 	 is not acceptable [TO,1] 
 not the answer 	 n't the answer 
 n't family 	 not related to you 
 'm not here 	 am not here 
 it [VBZ,1] unrealistic 	 it [VBZ,1] not realistic 
 i [VP/VP,1] [VBZ,2] wrong 	 i [VP/VP,1] [VBZ,2] not true 
 [WDT,1] are not party 	 [WDT,1] were not parties 
 does not know [SBAR/VP,1] [VP/NNS,2] 	 is not known [SBAR/VP,1] [VP/NNS,2] 
 's [NP,1] , not [NN,2] 	 is [NP,1] , not [NN,2] 
 [S,1] is not valid [.,2] 	 [S,1] is invalid [.,2] 
 aim is not to 	 purpose is not to 
 this [VBZ,1] not [JJ,2] ! 	 this [VBZ,1] n't [JJ,2] ! 
 [:,1] that [VBZ,2] not funny 	 [:,1] this [VBZ,2] n't funny 
 do not hesitate [VP/NN,1] 	 feel free [VP/NN,1] 
 [DT,1] 's [RB,2] untrue 	 [DT,1] is [RB,2] not true 
 [VBZ,1] not taken 	 [VBZ,1] not adopted 
 not exclusively , 	 not limited to , 
 we do n't have much time 	 that is not much time 
 n't through [PP,1] 	 not finished [PP,1] yet 
 not just [PP,1] but [PP/NNP,2] 	 not only [PP,1] but [PP/NNP,2] 
 [VBZ,1] failed to prove 	 [VBZ,1] not proven 
 [:,1] [UCP/RB,2] not - 	 [:,1] [UCP/RB,2] otherwise - 
 does not apply [PP/NN,1] 	 is not applicable [PP/NN,1] 
 [NNP,1] ai n't [JJ,2] 	 [NNP,1] 's not [JJ,2] 
 [NP/SBAR,1] [WP,2] can not 	 [NP/SBAR,1] [WP,2] are unable 
 not forget [NP,1] . 	 n't forget [NP,1] . 
 [NP/PP,1] not [VBG,2] 	 [NP/PP,1] without [VBG,2] 
 she ai n't [PRP$,1] 	 she 's not [PRP$,1] 
 names are not [PP,1] 	 name does not appear [PP,1] 
 [VBN,1] or not 	 [VBN,1] or otherwise 
 [SBAR/VP,1] [VBZ,2] not merely 	 [SBAR/VP,1] [VBZ,2] not simply 
 can not be [VP/NP,1] [DT,2] 	 can only be [VP/NP,1] [DT,2] 
 's an order . 	 'm not asking . 
 [NP,1] -lrb- without [VP,2] 	 [NP,1] -lrb- do not [VP,2] 
 [MD,1] only function if 	 [MD,1] not operate unless 
 do n't think the 	 do not think the 
 [MD,1] not [VP/SBAR,2] even though 	 [MD,1] not [VP/SBAR,2] although 
 do not [VB,1] [VP/RB,2] 	 do n't [VB,1] [VP/RB,2] 
 do not put [NP,1] 	 do not place [NP,1] 
 , that 's impossible 	 , that 's not possible 
 [NP/VP,1] does not appear to 	 [NP/VP,1] does not seem to 
 [NN,1] is unavailable 	 [NN,1] is not available 
 does not provide [NP,1] [PP/NNS,2] 	 does not offer [NP,1] [PP/NNS,2] 
 are n't you afraid 	 you 're not afraid 
 [PRP,1] am not [ADJP/PP,2] 	 [PRP,1] 'm not [ADJP/PP,2] 
 it 's not [SBAR/VBD,1] 	 it is n't [SBAR/VBD,1] 
 [VBP,1] n't talk [PP,2] . 	 [VBP,1] not speak [PP,2] . 
 they did not [VB,1] [NNS,2] 	 they do n't [VB,1] [NNS,2] 
 that [NP,1] [VBD,2] not commit 	 that [NP,1] [VBD,2] not make 
 but not now [.,1] 	 but not right now [.,1] 
 [PRP,1] [VBZ,2] not yours 	 [PRP,1] [VBZ,2] not you 
 [:,1] not a chance [.,2] 	 [:,1] no way [.,2] 
 he wo n't [VP,1] [.,2] 	 he 's not [VP,1] [.,2] 
 not attending schools [.,1] 	 not attending any school [.,1] 
 did n't [VP/VP,1] [VP/NNP,2] 	 're not [VP/VP,1] [VP/NNP,2] 
 , without [VP,1] [COMMA,2] 	 , not [VP,1] [COMMA,2] 
 [NP/VP,1] [VBP,2] not part 	 [NP/VP,1] [VBP,2] not party 
 [NP/VP,1] are not part 	 [NP/VP,1] do not form part 
 not [DT,1] word [S,2] 	 hardly [DT,1] word [S,2] 
 the author [VBZ,1] not [VP/VP,2] 	 the author [VBZ,1] failed [VP/VP,2] 
 [PP/VP,1] not participating 	 [PP/VP,1] do not participate 
 rather than [PP/SBAR,1] [SBAR,2] 	 and not [PP/SBAR,1] [SBAR,2] 
 [SBAR/VP,1] [VBZ,2] not recognized 	 [SBAR/VP,1] [VBZ,2] not recognised 
 not respect [DT,1] [NNS,2] 	 not follow [DT,1] [NNS,2] 
 [NP/SBAR,1] [WP,2] fail 	 [NP/SBAR,1] [WP,2] do not 
 people lack [NP,1] 	 people do not have [NP,1] 
 the [NP\DT,1] has failed [VP/SBAR,2] 	 the [NP\DT,1] had not [VP/SBAR,2] 
 [SBAR/SBAR,1] if [PRP,2] do not 	 [SBAR/SBAR,1] unless [PRP,2] 
 n't written [IN,1] [NP,2] 	 not written [IN,1] [NP,2] 
 [DT,1] is not me 	 [DT,1] is n't me 
 does not function [RB,1] 	 fails to run [RB,1] 
 the commission had not [VP/PP,1] 	 the committee had not [VP/PP,1] 
 [-LRB-,1] excluding [NP,2] 	 [-LRB-,1] not including [NP,2] 
 [SBAR/VP,1] was neither [JJ,2] nor 	 [SBAR/VP,1] is not [JJ,2] or 
 [VBZ,1] not [VB,2] that he 	 [VBZ,1] n't [VB,2] he 
 [PRP,1] [VBD,2] n't really 	 [PRP,1] [VBD,2] not really 
 n't [VP,1] or [VP,2] 	 not [VP,1] or [VP,2] 
 can not [VP/SBAR,1] [SBAR/VB,2] 	 be able [VP/SBAR,1] [SBAR/VB,2] 
 [DT,1] authors [VBD,2] not 	 [DT,1] sponsors [VBD,2] not 
 [NP,1] is invalid . 	 [NP,1] is not valid . 
 n't die 	 not die 
 are not included [IN,1] [NP,2] 	 does not appear [IN,1] [NP,2] 
 [SBAR/VP,1] is not only [NP/PP,2] 	 [SBAR/VP,1] is not just [NP/PP,2] 
 not without [PRP,1] [.,2] 	 -not without [PRP,1] [.,2] 
 n't know [IN,1] the [S\DT,2] 	 not know [IN,1] the [S\DT,2] 
 although [DT,1] covenant does not 	 while [DT,1] covenant does not 
 if not , [NP,1] [VP/PP,2] 	 otherwise , [NP,1] [VP/PP,2] 
 [WDT,1] were not party 	 [WDT,1] were not parties 
 n't [JJ,1] [VP,2] 	 not [JJ,1] [VP,2] 
 's not right ! 	 's not fair ! 
 although it is not 	 while it is not 
 we are not [VBN,1] 	 we 're not [VBN,1] 
 do n't have [NP/NP,1] a 	 do not have [NP/NP,1] a 
 although not [DT,1] 	 though not [DT,1] 
 the eu will not [VP/NP,1] 	 europe will not [VP/NP,1] 
 [VBD,1] not necessary [SBAR/VP,2] 	 [VBD,1] no need [SBAR/VP,2] 
 n't forget [NP,1] [.,2] 	 not forget [NP,1] [.,2] 
 if [NNS,1] do not [VB,2] 	 if [NNS,1] do n't [VB,2] 
 does not contain [NP,1] [PP/PP,2] 	 does not include [NP,1] [PP/PP,2] 
 [VBD,1] n't make it [.,2] 	 [VBD,1] not survive [.,2] 
 [VBD,1] not wish to [VP/PP,2] 	 [VBD,1] not want to [VP/PP,2] 
 [NP,1] is not being examined 	 [NP,1] has not been submitted 
 [PRP,1] [VBZ,2] bad . 	 [PRP,1] [VBZ,2] not okay . 
 'm not going [VP/PRP,1] 	 am not going [VP/PRP,1] 
 [NNP,1] was n't [NP/VP,2] 	 [NNP,1] was not [NP/VP,2] 
 is not being examined 	 has not been submitted 
 is [RB,1] not [NP/NN,2] 	 's [RB,1] not [NP/NN,2] 
 not going out [IN,1] [NP,2] 	 n't go out [IN,1] [NP,2] 
 do n't have [NP/VP,1] [VP/NP,2] 	 do not have [NP/VP,1] [VP/NP,2] 
 matters little [IN,1] 	 does not matter [IN,1] 
 [S/VP,1] was n't 	 [S/VP,1] was not 
 do n't [VB,1] [NP/DT,2] 	 do not [VB,1] [NP/DT,2] 
 n't the [NN,1] , [NNP,2] 	 not the [NN,1] , [NNP,2] 
 is not enough [VP/SBAR,1] that 	 does not suffice [VP/SBAR,1] that 
 [S,1] , ca n't [PRP,2] 	 [S,1] , was [PRP,2] not 
 i wo n't [VP/SBAR,1] [SBAR,2] 	 i 'm not [VP/SBAR,1] [SBAR,2] 
 which do not correspond [PP/PP,1] 	 which may differ [PP/PP,1] 
 we do n't know [RB,1] 	 we 're not sure [RB,1] 
 is not [S,1] 	 's not [S,1] 
 [FRAG/VP,1] wo n't [VP,2] 	 [FRAG/VP,1] would not [VP,2] 
 is not liable [PP/SBAR,1] 	 will be responsible [PP/SBAR,1] 
 is not [RB,1] clear [IN,2] 	 is not [RB,1] known [IN,2] 
 n't for sale 	 not for sale 
 she [VBZ,1] not [JJ,2] 	 she [VBZ,1] n't [JJ,2] 
 it 's not easy . 	 it 's tough . 
 [WDT,1] 's not [WP,2] 	 [WDT,1] is not [WP,2] 
 not [VP/PP,1] in [VP,2] 	 n't [VP/PP,1] by [VP,2] 
 [VBD,1] no need [VP/NNS,2] 	 [VBD,1] not necessary [VP/NNS,2] 
 [NP/VP,1] [VBP,2] not fall 	 [NP/VP,1] [VBP,2] not fit 
 as [NP,1] [VBD,2] not 	 because [NP,1] [VBD,2] not 
 [MD,1] never [VP/NP,2] any 	 [MD,1] not [VP/NP,2] any 
 [DT,1] author has not [VP/VP,2] 	 [DT,1] author has failed [VP/VP,2] 
 - not like [NP,1] [.,2] 	 unlike [NP,1] [.,2] 
 does not believe that [S/PP,1] 	 does not consider that [S/PP,1] 
 [VBD,1] no connection 	 [VBD,1] not related 
 [NP,1] [VBP,2] not ready 	 [NP,1] [VBP,2] not prepared 
 [PRP,1] were not there 	 [PRP,1] were n't there 
 i 'm not [VBG,1] [VP\VBG,2] 	 i was n't [VBG,1] [VP\VBG,2] 
 no , [PRP,1] [VBP,2] n't 	 no , [PRP,1] [VBP,2] not 
 's not [RB,1] late 	 is not [RB,1] late 
 [S/VP,1] does not know 	 [S/VP,1] does n't know 
 [SBAR/VP,1] [VBP,2] not satisfied 	 [SBAR/VP,1] [VBP,2] not met 
 not for children 	 not for children 's eyes 
 we fail [VP/PP,1] 	 we do not manage [VP/PP,1] 
 not [VP/PP,1] to [NNS,2] 	 n't [VP/PP,1] to [NNS,2] 
 [NP,1] [VBZ,2] unavailable . 	 [NP,1] [VBZ,2] not available . 
 [VBZ,1] not founded [.,2] 	 [VBZ,1] unfounded [.,2] 
 could not [VP/NP,1] [NP/ADJP,2] 	 is unable [VP/NP,1] [NP/ADJP,2] 
 not survive [NP,1] 	 n't survive [NP,1] 
 's [JJ,1] , not [JJ,2] 	 is [JJ,1] , not [JJ,2] 
 n't [VB,1] [WRB,2] 	 not [VB,1] [WRB,2] 
 'm not going [VP/NN,1] [NN,2] 	 'm not gonna [VP/NN,1] [NN,2] 
 [DT,1] is not for [PRP,2] 	 [DT,1] 's not for [PRP,2] 
 's not necessary [.,1] 	 does n't have to [.,1] 
 [NP,1] [VBZ,2] not permitted 	 [NP,1] [VBZ,2] not allowed 
