Number of pairs: 5113
limited	unlimited
point_of_apoapsi	point_of_periapsi
deglycerolize	glycerolize
fortunately	unfortunately
attract	repuls
divided	united
atypicality	typicality
brand	unbrand
enliven	unenliven
dysgenic	eugenic
likeliness	unlikeliness
allopatr	sympatr
cardinal	ordinal
immoderation	moderation
coiled	uncoiled
irreverent	reverent
hypertens	hypotens
astomatous	stomatous
deteriorate	recuperate
effortful	effortless
irrational	rational
cared-for	uncared-for
impartial	partial
demonet	monet
starless	starri
horn	hornless
female_s	male_s
convincingly	unconvincingly
fueled	unfueled
tipped	untipped
designed	undesigned
commit	uncommit
intoler	toler
dove	hawk
compatibility	incompatibility
poor_people	rich_people
stress	unstress
complainingly	uncomplainingly
natural	supernatural
awkward	grace
conscious	unconsci
priestly	unpriestly
high-suds	low-suds
explicit	inexplicit
active_trust	passive_trust
inform	uninform
nosed	noseless
preced	unpreced
combin	noncombin
deposit	withdraw
deceive	undeceive
priestli	unpriestli
boarding_school	day_school
lamented	unlamented
irrat	ration
drunken	sober
exclusive	inclusive
innocuous	noxious
carnivor	insectivor
drop_out	enter
furnished	unfurnished
gradual	steep
pointed	unpointed
coordinating	subordinating
approv	disapprov
playful	unplayful
imitative	nonimitative
approb	reprob
achromatic_color	chromatic_color
cold	hot
braid	unbraid
sinkable	unsinkable
irresolute	resolute
thoughtfulness	thoughtlessness
ethic	uneth
adhesive	nonadhesive
conjunct	disjunct
air-to-air	surface-to-air
dangerousness	safeness
curly	straight
concis	prolix
anticholinerg	cholinerg
interesting	uninteresting
extrus	intrus
corruptness	incorruptness
invit	uninvit
lucki	unlucki
nonsubmers	submers
attraction	repulsion
covertly	overtly
acrocarp	pleurocarp
antagonist	conciliatori
livabl	unliv
curiou	incuri
decreased	increased
troubled	untroubled
expectedness	unexpectedness
sanitariness	unsanitariness
hand_mow	power_mow
comfortably	uncomfortably
entozo	epizo
tucked	untucked
civilian	serviceman
financi	nonfinanci
illogically	logically
scrambl	unscrambl
beseech	imper
sarcastic	unsarcastic
chromatic	diatonic
answer	question
appropriateness	inappropriateness
qualified	unqualified
exon	intron
aesthet	inaesthet
half	whole
freez	unfreez
feathered	unfeathered
lid	lidless
matched	mismatched
susceptibility	unsusceptibility
trusti	untrusti
ancestor	descend
equality	inequality
organ	unorgan
creativ	uncr
truthful	untruthful
pleasure_principl	reality_principl
kern	kern
realistic	unrealistic
dysphoric	euphoric
offshore	onshore
instability	stability
altern	opposit
collaps	noncollaps
ters	verbos
courag	cowardic
emotion	unemotion
inshor	offshor
immeasur	measur
natural_depression	natural_elevation
regener	unregener
nonracial	racial
back_burn	front_burn
abnormal	normal
continu	discontinu
hurried	unhurried
translatable	untranslatable
multiparous	uniparous
inopportune	opportune
nontranslational	translational
irremediable	remediable
edifi	unedifi
dispos	indispos
adequately	inadequately
sunrise	sunset
agit	calm
artifici	natur
endogam	exogam
beauty	ugliness
consequ	inconsequ
space	unspac
amateurishly	expertly
female_child	male_child
interference	noninterference
unworldly	worldly
databl	undat
nominal	real
high_tide	low_tide
amateurishli	expertli
plug_in	unplug
pleasantness	unpleasantness
bridgeabl	unbridg
correct	uncorrect
anterior	posterior
unworldli	worldli
nontox	toxic
inwardli	outwardli
appealable	unappealable
demilitar	militar
deterior	recuper
loamless	loami
political_correct	political_incorrect
anticlinal	synclinal
expert_wit	lay_wit
carv	uncarv
apocrine	eccrine
myelinated	unmyelinated
bottlefe	breastfe
disrespect	respect
deciph	undeciph
inwardly	outwardly
unwanted	wanted
curable	incurable
romant	unromant
immiscible	miscible
compression	decompression
advance	retreat
unwil	will
muzzl	unmuzzl
bottle-fed	breast-fed
contented	discontented
allogamy	autogamy
motion	motionless
let_out	take_in
impure	pure
distrustfully	trustfully
tangled	untangled
anestr	estrou
stableness	unstableness
insignific	signific
unwir	wire
misused	used
principl	unprincipl
high-resolution	low-resolution
extrovert	introvert
frequent	infrequ
first	second
blind	sight
cultivated_plant	weed
impossibly	possibly
directli	indirectli
cacophon	euphoni
spoken	written
distal	mesial
impalpability	palpability
insecurely	securely
linger	rush
improvid	provid
exhaustible	inexhaustible
desynchronization	synchronization
consecrate	desecrate
fast	slow
directly	indirectly
oppos	unoppos
impossible	possible
potted	unpotted
happi	unhappi
open	shut
angular	round
cenobitic	eremitic
allogami	autogami
little	much
truthfully	untruthfully
nonreligious_person	religious_person
capac	incapac
convent	unconvent
imit	nonimit
structured	unstructured
insentient	sentient
silenc	sound
necessarili	unnecessarili
demonstr	undemonstr
convention	unconvention
conveni	inconveni
noisi	quiet
appealingli	unappealingli
inviol	violabl
believingli	unbelievingli
continuous	discontinuous
tuneful	tuneless
accurately	inaccurately
artifact	natural_object
clearhead	confus
heavy-footed	light-footed
criticize	praise
enclos	unenclos
eyed	eyeless
repent	unrepent
ill-advised	well-advised
imperman	perman
hyperparathyroid	hypoparathyroid
juiceless	juici
dehiscent	indehiscent
elast	inelast
rightfulness	wrongfulness
adoptable	unadoptable
impractical	practical
immor	moral
smilingli	unsmilingli
folly	wisdom
diplomatic	undiplomatic
acropetal	basipetal
accrual_basi	cash_basi
neap_tid	springtid
protected	unprotected
Cryptogamia	Phanerogama
generic_win	varietal_win
aesthetic	inaesthetic
mercifulness	mercilessness
extinguish	inextinguish
folli	wisdom
proactive	retroactive
immov	movabl
prospect	retrospect
melodiously	unmelodiously
delic	rug
illness	wellness
mated	unmated
armored	unarmored
generality	particularity
mindfulness	unmindfulness
peace	war
appreciate	depreciate
improbability	probability
turned	unturned
argument	unargu
immunocompetence	immunodeficiency
penalti	reward
nonphotosynthetic	photosynthetic
insensitivity	sensitivity
buried	unburied
effector	receptor
unwooded	wooded
pigeon-toed	splayfooted
appositeness	inappositeness
ambigu	unambigu
occupied	unoccupied
dryness	wet
satisfactorili	unsatisfactorili
caus	noncaus
fertil	steril
azon	zonal
exploratory	nonexploratory
fashionable	unfashionable
efficient	inefficient
injustic	justic
immorality	morality
downwards	upwards
intemper	temper
hypercapnia	hypocapnia
compressible	incompressible
iron	uniron
label	unlabel
exploratori	nonexploratori
objective	subjective
destroy	preserv
dedicated_file_serv	non-dedicated_file_serv
fashionably	unfashionably
valgus	varus
registered	unregistered
arbitrable	nonarbitrable
hard_water	soft_water
nonrepres	repres
digitigrade	plantigrade
sure	unsur
altered	unaltered
capitalist	socialist
normal	paranorm
printable	unprintable
orthodoxi	unorthodoxi
discerning	undiscerning
enter	exit
compress	incompress
dress_down	dress_up
paid	unpaid
invertebrate	vertebrate
switch_off	switch_on
connot	denot
contrasty	flat
wire	wireless
technophil	technophob
abus	unabus
handwash	machine_wash
multiply	singly
clarifi	obfusc
cleared	uncleared
unguicul	ungul
conspicuous	inconspicuous
calcifi	decalcifi
cenobite	eremite
correctli	incorrectli
surprising	unsurprising
failure	success
anemophilous	entomophilous
nonworker	worker
adopt	nativ
steady	unsteady
hungry	thirsty
gracefully	ungracefully
tooth	toothless
nonsubmersible	submersible
crooked	straight
creativeness	uncreativeness
nonrepresentative	representative
agnost	gnostic
cortex	medulla
timeliness	untimeliness
alterable	unalterable
defenc	offenc
apojove	perijove
corrig	incorrig
hungri	thirsti
drain	undrain
event	unev
invariableness	variableness
spaced	unspaced
Anglophilia	Anglophobia
subjacent	superjacent
off-street	on-street
rhetor	unrhetor
glaze	unglaz
cheap	expens
cenogenetic	palingenetic
unwrinkl	wrinkl
drinkabl	undrink
approvingli	disapprovingli
bright	dull
shod	unshod
ametabol	metabol
permiss	unpermiss
eusporangi	leptosporangi
aggressive	unaggressive
inshore	offshore
insur	uninsur
help	unhelp
enthusiast	unenthusiast
blunt_fil	taper_fil
invertebr	vertebr
nadir	zenith
favor	unfavor
hard_wat	soft_wat
stained	unstained
activ	inact
dull	sharp
analytic	synthetic
explicitly	implicitly
black	white
analyz	unanalyz
brachycephal	dolichocephal
equipped	unequipped
stain	unstain
postnupti	prenupti
extracellular	intracellular
interstate	intrastate
lighted	unlighted
dissimilar	similar
accordant	discordant
equatori	polar
lighten	weigh_down
geocentric	heliocentric
immodesti	modesti
multinucleate	uninucleate
achromatinic	chromatinic
fixedness	looseness
ionized	nonionized
consolable	inconsolable
import	unimport
ambiversive	extroversive
balconied	unbalconied
immodesty	modesty
hop_on	hop_out
inpatient	outpatient
direct_discourse	indirect_discourse
attentiveness	inattentiveness
de-energise	energise
appreciatively	unappreciatively
assimilate	dissimilate
stoppable	unstoppable
impolite	polite
aptitud	inaptitud
keyed	keyless
expedi	inexpedi
biodegradable_pollut	nonbiodegradable_pollut
nonspatial	spatial
privileg	underprivileg
anisotrop	isotrop
disparage	flatter
husband	wife
declared	undeclared
sheathed	unsheathed
antimagnet	magnet
staged	unstaged
affin	consanguin
seat	stand
illogicalness	logicalness
actively	passively
asleep	awak
defus	fuse
seam	seamless
seal	unseal
end-stop	run-on
explosive	nonexplosive
unwieldi	wieldi
insoluble	soluble
nonstandard	standard
concern	unconcern
mortal_sin	venial_sin
defensively	offensively
causative	noncausative
enlightening	unenlightening
crystal	uncrystal
federal	unitary
alarming	unalarming
definite	indefinite
malted	unmalted
atomistic	holistic
limbed	limbless
downriver	upriver
high_explos	low_explos
precedentedly	unprecedentedly
reproducible	unreproducible
thinkable	unthinkable
impoliteness	politeness
dextral	sinistr
achlamyd	chlamyd
absenc	presenc
parent	unpar
abactin	actin
illiber	liber
negative_charge	positive_charge
dishonesti	honesti
arrang	disarrang
capitalistic	socialistic
text_edition	trade_edition
concentrate	deconcentrate
overcharge	undercharge
analyzed	unanalyzed
nonpasserine	passerine
come	go
insubstantiality	substantiality
concentrated	distributed
discernible	indiscernible
talented	untalented
gratefully	ungratefully
acaulesc	caulesc
masochist	sadist
enterpris	unenterpris
quiet	unquiet
contract	expand
innumer	numer
cross-fertilization	self-fertilization
hipless	hip
arbor	nonarbor
accentu	quantit
cognizance	incognizance
improv	unimprov
over-the-counter_medicine	prescription_medicine
disloyally	loyally
thickli	thinli
improp	proper
acceler	deceler
detribalis	tribalis
dry-bulb_thermometer	wet-bulb_thermometer
diachronic	synchronic
adroit	maladroit
color	uncolor
continuation	discontinuation
pot	unpot
sinkabl	unsink
instructively	uninstructively
classif	declassif
anticlin	synclin
exploit	unexploit
ametabolic	metabolic
anti	pro
soft-finned_fish	spiny-finned_fish
high_tid	low_tid
approval	disapproval
awned	awnless
moonless	moonlit
abactinal	actinal
impropriety	propriety
destroyed	preserved
unusual	usual
boil	freez
acidity	alkalinity
consumptive	generative
capable	incapable
dependably	undependably
categoremat	syncategoremat
invert	non-invert
certify	decertify
informed	uninformed
absence	presence
relatedness	unrelatedness
breath	breathless
castrated	uncastrated
dysphemistic	euphemistic
punished	unpunished
combined	uncombined
peaceful	unpeaceful
nonsignificant	significant
linguistic	nonlinguistic
dissimilitud	similitud
certifi	decertifi
educated	uneducated
tasteless	tasti
humorlessli	humor
formed	unformed
suscept	unsuscept
downwind	upwind
deodor	odor
comprehens	incomprehens
dramatic	lyric
heterocerc	homocerc
external	internal
irrever	rever
suspected	unsuspected
extant	extinct
careful	careless
irrelevant	relevant
former	latter
disoblige	oblige
sound	unsound
apophat	doctrine_of_analog
hard_drug	soft_drug
profane	sacred
hesitantli	unhesitatingli
atrophi	hypertrophi
admissibility	inadmissibility
accommodating	unaccommodating
cash	credit
alter	unalter
explicitness	inexplicitness
constanc	inconst
biped	quadruped
rhymed	unrhymed
awakened	unawakened
servic	unservic
binaural	monaural
implacable	placable
injudiciously	judiciously
alcoholic	nonalcoholic
endowed	unendowed
ethically	unethically
apropos	malapropos
agnostic	gnostic
chromat	diaton
leavened	unleavened
thickly	thinly
gloriou	inglori
strain	unstrain
unwritten	written
clutter	unclutt
illiberality	liberality
tidiness	untidiness
falsehood	truth
demulsify	emulsify
immoder	moder
de-iodinating	iodinating
debilitating	invigorating
resentful	unresentful
develop	undevelop
apoapsi	periapsi
author	unauthor
harmon	nonharmon
rising_trot	sitting_trot
skim_milk	whole_milk
decently	indecently
pedunculate	sessile
helpfully	unhelpfully
intelligently	unintelligently
expediently	inexpediently
loudly	softly
disobey	obey
agitated	unagitated
anastalsi	peristalsi
document	undocu
granter	withhold
inoffensive	offensive
hypertonu	hypotonu
dishonorable	honorable
exhaust	unexhaust
covertli	overtli
extended	unextended
edifying	unedifying
applaud	boo
defy	lend_oneself
assist	unassist
driver	nondriv
deflate	inflate
overestim	underestim
capabl	incap
running	standing
creditor	debtor
wired	wireless
delicate	rugged
imponderable	ponderable
extern	intern
illicitly	licitly
nonprofessional	professional
dishonorably	honorably
nontoxic	toxic
renewable	unrenewable
obvers	revers
appropri	inappropri
desalinate	salinate
female_offspr	male_offspr
precoci	retard
bodied	unbodied
ill-defin	well-defin
constitutional	unconstitutional
carinate	ratite
justifi	unjustifi
desynchronis	synchronis
absolv	blame
aphelion	perihelion
immeasurable	measurable
self-consciously	unselfconsciously
reward	unreward
insentience	sentience
charged	uncharged
summer	winter
disloyal	loyal
abund	scarc
unwean	wean
criminalise	decriminalise
being	nonbeing
generally	specifically
guided	unguided
graciou	ungraci
modifiable	unmodifiable
valuable	worthless
civilized	noncivilized
compromising	uncompromising
invalid	valid
changeableness	changelessness
touch	untouch
idl	work
colonise	decolonise
detribalisation	tribalisation
disreputable	reputable
unweav	weav
longness	shortness
concentr	distribut
indulg	nonindulg
adventur	unadventur
exclus	inclus
suitableness	unsuitableness
inorganically	organically
hypertensive	normotensive
monolingual	multilingual
futurity	presentness
idiographic	nomothetic
trustworthiness	untrustworthiness
judgment_in_personam	judgment_in_rem
instrument	vocal
porosity	solidity
asyndet	syndet
irrespons	respons
extensive	intensive
joyful	sorrowful
disproportionate	proportionate
disorganis	organis
real	unreal
inspir	uninspir
lubric	unlubr
cursori	fossori
fratern	ident
self-consci	unselfconsci
considerately	inconsiderately
dark	light
theatric	untheatr
snarl	unsnarl
conscienti	unconscienti
irreligi	religi
confined	invasive
characteristically	uncharacteristically
unyok	yoke
sheared	unsheared
sensational	unsensational
acute	obtuse
confine	free
beneficed	unbeneficed
benefic	malefic
alterability	unalterability
cleanli	uncleanli
aqueous	igneous
collective	distributive
dehuman	human
depersonalis	personalis
desensitizing	sensitizing
shutter	unshutt
caudal	cephal
nose	noseless
prejud	unprejud
colon	decolon
downward	upward
passionate	passionless
manag	unmanag
nonobserv	observ
obstruct	unobstruct
satisfactory	unsatisfactory
collapsible	noncollapsible
maximize	minimize
bed	bedless
sentimentally	unsentimentally
servile	unservile
ascend	descend
fledg	unfledg
competition	cooperation
absolve	blame
satisfactori	unsatisfactori
erase	record
nonradioact	radioact
rh-negative	rh-positive
specified	unspecified
dehisc	indehisc
ascent	descent
acid-lov	alkaline-lov
energetic	lethargic
gross	net
insolvency	solvency
confirm	unconfirm
overstat	understat
consciously	unconsciously
active_voic	passive_voic
definit	indefinit
de-energ	energ
legal	outlaw
conservative	liberal
patriotically	unpatriotically
critical	noncritical
desynchronize	synchronize
deficit	lead
gladden	sadden
damag	undamag
altricial	precocial
dumb_bomb	smart_bomb
over-the-counter_medicin	prescription_medicin
autoeci	heteroeci
process	unprocess
assembly	disassembly
declaratory	interrogatory
power	unpow
endogami	exogami
convincing	unconvincing
communicate	excommunicate
deciduous_pl	evergreen_pl
carefulness	carelessness
keep_quiet	talk
broken	unbroken
cultiv	uncultiv
fathom	unfathom
be_act	rest
free_state	slave_state
assemble	disassemble
immut	mutabl
cold-blood	warm-blood
exciting	unexciting
appli	theoret
rentable	unrentable
aposelene	periselene
neurotic_depression	psychotic_depression
deflat	inflat
central	decentr
bimodal	unimodal
joyfully	joylessly
amphitrop	anatrop
intolerable	tolerable
nonobservance	observance
corpuscular_theory_of_light	wave_theory_of_light
inviting	uninviting
greater	lesser
harmfully	harmlessly
emotional_person	unemotional_person
offsid	onsid
supervised	unsupervised
stand	yield
determinable	indeterminable
disintegrate	integrate
overachievement	underachievement
industri	nonindustri
acyclic	cyclic
categoreme	syncategoreme
echoic	nonecho
make_peac	war
quietly	unquietly
laureled	unlaureled
shapely	unshapely
presidenti	unpresidenti
keep_track	lose_track
skilled	unskilled
blessed	cursed
off-line	on-line
compos	discompos
bivalv	univalv
quietli	unquietli
commodious	incommodious
involvement	non-involvement
hyperglycemia	hypoglycemia
equivocalness	unequivocalness
attachable	detachable
intervention	nonintervention
achondritic	chondritic
satisfactoriness	unsatisfactoriness
complianc	noncompli
decorousness	indecorousness
congeniality	uncongeniality
cold-blooded	warm-blooded
decode	encode
start	stop
compliant	defiant
errancy	inerrancy
female_sibling	male_sibling
sealed	unsealed
convertibility	inconvertibility
dependable	undependable
decisive	indecisive
re-entrant	salient
fair_bal	foul_bal
hard	soft
complete	incomplete
particular_proposition	universal_proposition
auspici	inauspici
disson	harmoni
fastidious	unfastidious
fast_reactor	thermal_reactor
punit	rehabilit
change	stay
disobedi	obedi
sunris	sunset
obligatorili	option
perinat	postnat
overact	underact
actinomorph	zygomorph
curtain	curtainless
monoton	nonmonoton
desynchron	synchron
irreversible	reversible
inopportun	opportun
highness	lowness
abused	unabused
toned	toneless
log_in	log_out
darken	lighten
arranged	disarranged
impenetr	penetr
demilitarize	militarize
default	pay_up
receptive	unreceptive
relaxed	tense
disengag	engag
unwellness	wellness
fruitfulness	fruitlessness
overpay	underpay
continuant_consonant	stop_consonant
decenc	indec
irreconcilable	reconcilable
agree	disagree
care	carelessli
expect	unexpect
strongly	weakly
apocarp	syncarp
dovish	hawkish
money	moneyless
brotherly	sisterly
multilaterally	unilaterally
exhausted	unexhausted
certain	uncertain
statesmanlike	unstatesmanlike
moved	unmoved
altruist	egoist
deep	shallow
general	particular
strongli	weakli
impalpable	palpable
reliability	unreliability
asynchronous	synchronous
carved	uncarved
denationalize	nationalize
criminalisation	decriminalisation
non-prolifer	prolifer
perplexed	unperplexed
fill	unfil
selfish	unselfish
unwelcome	welcome
completeness	incompleteness
centrifugal_forc	centripetal_forc
credibility	incredibility
selfishly	unselfishly
benevolently	malevolently
Ladi	Lord
achromat	chromat
sympathetically	unsympathetically
abolish	establish
productively	unproductively
pronat	supin
narrowing	widening
essentiality	inessentiality
acrocarpous	pleurocarpous
obligatorily	optionally
geometr	linearli
selfishli	unselfishli
Lady	Lord
geocentr	heliocentr
poor	rich
requested	unrequested
genuin	spurious
equitably	inequitably
demobilize	mobilize
forgettable	unforgettable
airworthi	unairworthi
custom-made	ready-made
multidimension	unidimension
neighborli	unneighborli
hardware	software
important	unimportant
track	trackless
disesteem	esteem
asynchronous_oper	synchronous_oper
equitable	inequitable
airworthy	unairworthy
peac	unpeac
crossbred	purebred
conclusive	inconclusive
thematic	unthematic
atonicity	tonicity
criminalis	decriminalis
inseparably	separably
groom	ungroom
mask	unmask
efflux	influx
impossibility	possibility
inhibited	uninhibited
ametrop	emmetrop
malnourish	nourish
tanned	untanned
original	unoriginal
anastigmatic	astigmatic
assimil	dissimil
all	no
ascending_node	descending_node
interspecies	intraspecies
forget	mind
oblique_angl	right_angl
invariable	variable
dispensableness	indispensableness
live_birth	stillbirth
improperli	properli
polish	unpolish
thoughtful	thoughtless
bequeath	disinherit
generalize	specify
cooperative	uncooperative
fairness	unfairness
follow	leader
religious	secular
closed_interv	open_interv
metamorph	nonmetamorph
improperly	properly
intelligibility	unintelligibility
shrinkable	unshrinkable
attentive	inattentive
nonraci	racial
devolut	evolut
impati	patienc
equivalence	nonequivalence
sparkling	still
dramat	undramat
overexpose	underexpose
to	toeless
hyperthermia	hypothermia
coldheart	warmheart
anadrom	diadrom
disloyalti	loyalti
heterogeneity	homogeneity
defuse	fuse
immutable	mutable
abridg	unabridg
campylotropous	orthotropous
pull_in	pull_out
liter	spiritu
oblique_triangle	right_triangle
equivocal	unequivocal
manageably	unmanageably
far	near
combustible	noncombustible
disjoin	join
soled	soleless
fat	lean
discouragement	encouragement
fall	rise
internationalism	nationalism
manageable	unmanageable
dextrorotation	levorotation
broad-mindedli	narrow-mindedli
alien	inalien
high_quality	low_quality
induced	spontaneous
maximis	minimis
curdle	homogenise
artfulness	artlessness
list	unlist
insufficiently	sufficiently
large	small
amend	unamend
adjust	maladjust
oblat	prolat
disenfranchis	enfranchis
injectable	uninjectable
anal	oral
curabl	incur
imperm	permeabl
dedicated_file_server	non-dedicated_file_server
immanent	transeunt
portable	unportable
actual_sin	original_sin
broad-mindedness	narrow-mindedness
digitigrade_mammal	plantigrade_mammal
qualifi	unqualifi
monolingu	multilingu
design	undesign
pass	run
boldness	timidity
attributable	unattributable
carry_to_term	miscarri
belief	unbelief
excit	unexcit
heterocercal	homocercal
illogical	logical
advantageous	disadvantageous
autogenous	heterogenous
disorgan	organ
abl	unabl
thickness	thinness
desegregate	segregate
disench	enchant
disorienting	orienting
imperceptibly	perceptibly
fractional	whole
classify	declassify
stoppabl	unstopp
public	suppress
long-spurred	short-spurred
illegible	legible
full	thin
christian	unchristian
insalubriousness	salubriousness
eligibility	ineligibility
loose	tight
disorganize	organize
heed	heedless
astring	nonastring
benef	unbenef
toed	toeless
coldhearted	warmhearted
sociabl	unsoci
easterli	westerli
eventful	uneventful
buy	sell
strong	weak
respect	unrespect
breakable	unbreakable
geared	ungeared
graciousness	ungraciousness
unusualness	usualness
colored	uncolored
ahead	back
hydric	mesic
identifiable	unidentifiable
impotency	potency
saponified	unsaponified
compliance	noncompliance
collater	lineal
reason	unreason
experience	inexperience
wigged	wigless
effortfulness	effortlessness
cacodemon	eudemon
acquittal	conviction
musically	unmusically
published	unpublished
action	inact
meatless	meati
narrow	wide
one-piec	three-piec
invalidate	validate
proxim	ultim
depart	stay
detect	undetect
declin	improv
intermedi	termin
impiety	piety
general_agent	special_agent
beautifi	uglifi
bidirectional	unidirectional
follower	leader
indoors	outdoors
enlivened	unenlivened
trained	untrained
asexu	sexual
inorganic	organic
decrement	increment
nonprofession	profession
armed	armless
memor	unmemor
select	unselect
engag	non-engag
aggress	unaggress
conventional	nuclear
attendance	nonattendance
eye	eyeless
advantag	disadvantag
composure	discomposure
distinct	indistinct
nonresidential	residential
nontradit	tradit
irritate	soothe
dysphem	euphem
nonsteroidal	steroidal
off-lin	on-lin
sitter	stander
impressionable	unimpressionable
offshor	onshor
irreduc	reduc
earthli	heavenli
branded	unbranded
impression	unimpression
nonvolatil	volatil
permissiveness	unpermissiveness
infern	supern
flat	natur
saponifi	unsaponifi
desir	undesir
abridged	unabridged
desalin	salin
dematerialize	materialize
freelanc	salari
hurri	unhurri
corrected	uncorrected
convinc	unconvinc
instrumental	vocal
landed	landless
rustic	urban
extraterritori	territori
particular	univers
known	unknown
free_stat	slave_st
sleeping	waking
antinode	node
glad	sad
abaxially	adaxially
enlightenment	unenlightenment
suitabl	unsuit
clergi	laiti
malt	unmalt
imprecisely	precisely
attention	inattention
centrifugal	centripetal
dramatically	undramatically
nonoperational	operational
bottomed	bottomless
blemished	unblemished
motiv	unmotiv
playable	unplayable
specialized	unspecialized
scramble	unscramble
complain	uncomplain
eras	record
beautiful	ugly
dethron	enthron
valuabl	worthless
dysgen	eugen
dry_season	rainy_season
a_la_cart	table_d'hot
share	unshar
accept	reject
boycott	patronis
autumn	wintri
desensitize	sensitize
unzip	zip_up
reconstruct	unreconstruct
arise	lie_down
libertarian	necessitarian
exclude	include
altruism	egoism
disliked	liked
dress	undress
insolv	solvent
insignificantly	significantly
approachability	unapproachability
extrins	intrins
advantage	disadvantage
drained	undrained
divid	unit
obverse	reverse
occidentalis	orientalis
comfort	uncomfort
breast	breastless
decisively	indecisively
divis	indivis
misogyni	philogyni
oblate	prolate
closed_chain	open_chain
holophyt	holozo
activator	inhibitor
barreled	unbarreled
dissimilitude	similitude
controversially	uncontroversially
plant	unplant
infecti	noninfecti
intended	unintended
crook	straight
buckl	unbuckl
propiti	unpropiti
blacken	whiten
derived	underived
different	same
timber	untimb
rusticity	urbanity
reflect	unreflect
consequence	inconsequence
disable	enable
paintable	unpaintable
loudness	softness
horizontal	inclined
obtrusively	unobtrusively
associ	disassoci
dishonorableness	honorableness
bar	unbar
short	tall
impermissibly	permissibly
crowded	uncrowded
loud	soft
courteously	discourteously
crystallin	noncrystallin
ferned	fernless
dispensable	indispensable
hardheart	softheart
footed	footless
irreligious	religious
shade	unshad
healthfulness	unhealthfulness
influenti	uninfluenti
odorless	odor
impermissible	permissible
geographic	magnetic
extrasensori	sensori
adorned	unadorned
medic	surgic
anticyclone	cyclone
broadli	narrowli
Arian	Athanasian
displease	please
winged	wingless
developed	undeveloped
oblique	perpendicular
closeness	openness
black-and-whit	color
cross	uncross
faintheartedness	stoutheartedness
insalubr	salubr
perceptive	unperceptive
rifled	unrifled
coarsely	finely
committed	uncommitted
existence	nonexistence
concentric	eccentric
multilane	single-lane
cheerfulness	cheerlessness
day_game	night_game
binucleate	trinucleate
conformism	nonconformism
laced	unlaced
carpeted	uncarpeted
susceptible	unsusceptible
inward	outward
deniable	undeniable
fruitful	unfruitful
environmentalism	hereditarianism
detected	undetected
boneless	boni
illiteraci	literaci
exchang	unexchang
conformist	nonconformist
crossbr	purebr
pigeon-to	splayfoot
constructiveness	destructiveness
motivated	unmotivated
nonparticulate	particulate
disrespectful	respectful
postwar	prewar
scale_down	scale_up
intangibility	tangibility
immobility	mobility
depigmentation	pigmentation
sessile	vagile
compound	simpl
foot	footless
prejudiced	unprejudiced
complex_instruction_set_computing	reduced_instruction_set_computing
paintabl	unpaint
adventurous	unadventurous
association	disassociation
counterrevolutionari	revolutionari
intolerably	tolerably
denationalis	nationalis
bad_weather	good_weather
likeness	unlikeness
ill-b	well-b
nay	yea
overexpos	underexpos
irremovable	removable
sole	soleless
de-escal	escal
refresh	tire
bless	cur
tear	tearless
achiev	loser
reactiv	unreact
multiform	uniform
on_the_one_hand	on_the_other_hand
man	unman
die	nascent
found	lost
intervent	nonintervent
obligated	unobligated
disorganized	organized
pretenti	unpretenti
heavy	light
harm	harmless
disqualifi	qualifi
mental	physic
desirability	undesirability
beneficent	maleficent
heterodactyl_foot	zygodactyl_foot
brother	sister
heavi	light
finish	unfinish
punitive	rehabilitative
connect	unconnect
disembark	embark
atonal	tonal
tameness	wildness
compet	incompet
orient	unori
acquisitive	unacquisitive
commodi	incommodi
oviparous	ovoviviparous
clarity	obscurity
extraordinariness	ordinariness
emotionally	unemotionally
Arianism	Athanasianism
docil	stubborn
discouraging	encouraging
publish	unpublish
no_long	still
acropet	basipet
health	unhealth
fanci	plain
immovability	movability
expans	unexpans
congenial	uncongenial
bibbed	bibless
ironed	unironed
issue	recall
illicitli	licitli
extraordinari	ordinari
expansive	unexpansive
disobedience	obedience
gutlessness	gutsiness
advanc	retreat
combed	uncombed
summer_solstic	winter_solstic
asymmetrical	symmetrical
pleasant	unplea
extraordinary	ordinary
disinfect	infect
believ	disbeliev
nonparticipation	participation
backed	backless
beginning	end
irreplac	replac
allochthon	autochthon
looseness	tightness
misogyny	philogyny
nomin	obliqu
prophet	unprophet
pop_in	pop_out
depressuris	pressuris
domineering	submissive
farsight	nearsight
likeli	unlikeli
angularity	roundness
fruit	fruitlessli
perman	temporarili
apposit	inapposit
expedient	inexpedient
scheduled	unscheduled
nontherm	thermal
dispensability	indispensability
good_nature	ill_nature
assign	unassign
feed	starv
irreverently	reverently
major	minor
aborad	orad
devoic	voic
obviou	unobvi
full-term	prematur
concentricity	eccentricity
aperiod	period
reflected	unreflected
fancy	plain
traveled	untraveled
dissatisfi	satisfi
construct	destruct
adulterating	purifying
ascending_nod	descending_nod
stabl	unstabl
irrepar	repar
defi	lend_oneself
stage	unstag
unwillingness	willingness
obligatori	option
obligatory	optional
differ	same
profund	superfici
indulgent	nonindulgent
solvabl	unsolv
least	most
fallibl	infal
excitable	unexcitable
clear_up	overcast
high_statu	low_statu
female_offspring	male_offspring
irremov	remov
fruitfully	fruitlessly
correctly	incorrectly
adhes	nonadhes
justly	unjustly
bowed	plucked
avirulent	virulent
